t,T+R,N_0,N_1
403,1.02274,6.11369e-11,2.41891e-11
404,1.0405,7.24812e-11,2.88304e-11
405,1.05258,8.57804e-11,3.43016e-11
406,1.05791,1.01343e-10,4.07389e-11
407,1.05627,1.19522e-10,4.82994e-11
408,1.04835,1.40718e-10,5.71627e-11
409,1.03554,1.6539e-10,6.75348e-11
410,1.01974,1.94057e-10,7.96506e-11
411,1.00306,2.27309e-10,9.37785e-11
412,0.987562,2.65814e-10,1.10224e-10
413,0.97495,3.10325e-10,1.29333e-10
414,0.966441,3.61694e-10,1.51499e-10
415,0.962639,4.20878e-10,1.77168e-10
416,0.963539,4.88954e-10,2.06843e-10
417,0.968592,5.67127e-10,2.4109e-10
418,0.976832,6.56746e-10,2.80547e-10
419,0.987029,7.59316e-10,3.25929e-10
420,0.997847,8.76514e-10,3.7804e-10
421,1.008,1.0102e-09,4.37773e-10
422,1.01635,1.16245e-09,5.0613e-10
423,1.02206,1.33555e-09,5.84223e-10
424,1.0246,1.53203e-09,6.73289e-10
425,1.02381,1.75467e-09,7.74696e-10
426,1.01995,2.00656e-09,8.89963e-10
427,1.01361,2.29106e-09,1.02076e-09
428,1.00568,2.6119e-09,1.16894e-09
429,0.997271,2.97311e-09,1.33653e-09
430,0.989538,3.37913e-09,1.52576e-09
431,0.98356,3.8348e-09,1.73908e-09
432,0.980164,4.34536e-09,1.97914e-09
433,0.979797,4.9165e-09,2.24885e-09
434,0.982443,5.55441e-09,2.55139e-09
435,0.987612,6.26573e-09,2.89019e-09
436,0.994409,7.05763e-09,3.26896e-09
437,1.00168,7.93782e-09,3.69172e-09
438,1.00821,8.91455e-09,4.16279e-09
439,1.01292,9.99666e-09,4.68681e-09
440,1.01509,1.11936e-08,5.26876e-09
441,1.01446,1.25153e-08,5.91395e-09
442,1.01127,1.39725e-08,6.62807e-09
443,1.0062,1.55764e-08,7.41712e-09
444,1.00027,1.7339e-08,8.28751e-09
