t,Norm_0,AvgX_0
1141,1,53.5127
1142,1,53.5615
1143,1,53.6102
1144,1,53.659
1145,1,53.7078
1146,1,53.7565
1147,1,53.8053
1148,1,53.8541
1149,1,53.9028
1150,1,53.9516
1151,1,54.0004
1152,1,54.0491
1153,1,54.0979
1154,1,54.1467
1155,1,54.1954
1156,1,54.2442
1157,1,54.293
1158,1,54.3417
1159,1,54.3905
1160,1,54.4393
1161,1,54.488
1162,1,54.5368
1163,1,54.5856
1164,1,54.6343
1165,1,54.6831
1166,1,54.7319
1167,1,54.7806
1168,1,54.8294
1169,1,54.8782
1170,1,54.9269
1171,1,54.9757
1172,1,55.0245
1173,1,55.0732
1174,1,55.122
1175,1,55.1708
1176,1,55.2195
1177,1,55.2683
1178,1,55.3171
1179,1,55.3658
1180,1,55.4146
1181,1,55.4634
1182,1,55.5121
1183,1,55.5609
1184,1,55.6097
1185,1,55.6584
1186,1,55.7072
1187,1,55.756
1188,1,55.8047
1189,1,55.8535
1190,1,55.9023
1191,1,55.951
1192,1,55.9998
1193,1,56.0486
1194,1,56.0973
1195,1,56.1461
1196,1,56.1949
1197,1,56.2436
1198,1,56.2924
1199,1,56.3412
1200,1,56.39
1201,1,56.4387
1202,1,56.4875
1203,1,56.5363
1204,1,56.585
1205,1,56.6338
1206,1,56.6826
1207,1,56.7313
1208,1,56.7801
1209,1,56.8289
1210,1,56.8776
1211,1,56.9264
1212,1,56.9752
1213,1,57.0239
1214,1,57.0727
1215,1,57.1215
1216,1,57.1702
1217,1,57.219
1218,1,57.2678
1219,1,57.3165
1220,1,57.3653
1221,1,57.4141
1222,1,57.4628
1223,1,57.5116
1224,1,57.5604
1225,1,57.6091
1226,1,57.6579
1227,1,57.7067
1228,1,57.7554
1229,1,57.8042
1230,1,57.853
1231,1,57.9017
1232,1,57.9505
1233,1,57.9993
1234,1,58.048
1235,1,58.0968
1236,1,58.1456
1237,1,58.1943
1238,1,58.2431
1239,1,58.2919
1240,1,58.3406
1241,1,58.3894
1242,1,58.4382
1243,1,58.4869
1244,1,58.5357
1245,1,58.5845
1246,1,58.6332
1247,1,58.682
1248,1,58.7308
1249,1,58.7795
1250,1,58.8283
1251,1,58.8771
1252,1,58.9258
1253,1,58.9746
1254,1,59.0234
1255,1,59.0721
1256,1,59.1209
1257,1,59.1697
1258,1,59.2184
1259,1,59.2672
1260,1,59.316
1261,1,59.3647
1262,1,59.4135
1263,1,59.4623
1264,1,59.511
1265,1,59.5598
1266,1,59.6086
1267,1,59.6573
1268,1,59.7061
1269,1,59.7549
1270,1,59.8036
1271,1,59.8524
1272,1,59.9012
1273,1,59.9499
1274,1,59.9987
1275,1,60.0475
1276,1,60.0962
1277,1,60.145
1278,1,60.1938
1279,1,60.2425
1280,1,60.2913
1281,1,60.3401
1282,1,60.3888
1283,1,60.4376
1284,1,60.4864
1285,1,60.5351
1286,1,60.5839
1287,1,60.6327
1288,1,60.6814
1289,1,60.7302
1290,1,60.779
1291,1,60.8277
1292,1,60.8765
1293,1,60.9253
1294,1,60.974
1295,1,61.0228
1296,1,61.0716
1297,1,61.1203
1298,1,61.1691
1299,1,61.2179
1300,1,61.2666
1301,1,61.3154
1302,1,61.3642
1303,1,61.4129
1304,1,61.4617
1305,1,61.5105
1306,1,61.5592
1307,1,61.608
1308,1,61.6568
1309,1,61.7055
1310,1,61.7543
1311,1,61.8031
1312,1,61.8518
1313,1,61.9006
1314,1,61.9494
1315,1,61.9981
1316,1,62.0469
1317,1,62.0957
1318,1,62.1445
1319,1,62.1932
1320,1,62.242
1321,1,62.2908
1322,1,62.3395
1323,1,62.3883
1324,1,62.4371
1325,1,62.4858
1326,1,62.5346
1327,1,62.5834
1328,1,62.6321
1329,1,62.6809
1330,1,62.7297
1331,1,62.7784
1332,1,62.8272
1333,1,62.876
1334,1,62.9247
1335,1,62.9735
1336,1,63.0223
1337,1,63.071
1338,1,63.1198
1339,1,63.1686
1340,1,63.2173
1341,1,63.2661
1342,1,63.3149
1343,1,63.3636
1344,1,63.4124
1345,1,63.4612
1346,1,63.5099
1347,1,63.5587
1348,1,63.6075
1349,1,63.6562
1350,1,63.705
1351,1,63.7538
1352,1,63.8025
1353,1,63.8513
1354,1,63.9001
1355,1,63.9488
1356,1,63.9976
1357,1,64.0464
1358,1,64.0951
1359,1,64.1439
1360,1,64.1927
1361,1,64.2414
1362,1,64.2902
1363,1,64.339
1364,1,64.3877
1365,1,64.4365
1366,1,64.4853
1367,1,64.534
1368,1,64.5828
1369,1,64.6316
1370,1,64.6803
1371,1,64.7291
1372,1,64.7779
1373,1,64.8266
1374,1,64.8754
1375,1,64.9242
1376,1,64.9729
1377,1,65.0217
1378,1,65.0705
1379,1,65.1192
1380,1,65.168
1381,1,65.2168
1382,1,65.2655
1383,1,65.3143
1384,1,65.3631
1385,1,65.4118
1386,1,65.4606
1387,1,65.5094
1388,1,65.5581
1389,1,65.6069
1390,1,65.6557
1391,1,65.7044
1392,1,65.7532
1393,1,65.802
1394,1,65.8507
1395,1,65.8995
1396,1,65.9483
1397,1,65.997
1398,1,66.0458
1399,1,66.0946
1400,1,66.1433
1401,1,66.1921
1402,1,66.2409
1403,1,66.2896
1404,1,66.3384
1405,1,66.3872
1406,1,66.4359
1407,1,66.4847
1408,1,66.5335
1409,1,66.5822
1410,1,66.631
1411,1,66.6798
1412,1,66.7285
1413,1,66.7773
1414,1,66.8261
1415,1,66.8748
1416,1,66.9236
1417,1,66.9724
1418,1,67.0211
1419,1,67.0699
1420,1,67.1187
1421,1,67.1674
1422,1,67.2162
1423,1,67.265
1424,1,67.3137
1425,1,67.3625
1426,1,67.4113
1427,1,67.46
1428,1,67.5088
1429,1,67.5576
1430,1,67.6063
1431,1,67.6551
1432,1,67.7039
1433,1,67.7526
1434,1,67.8014
1435,1,67.8502
1436,1,67.8989
1437,1,67.9477
1438,1,67.9965
1439,1,68.0452
1440,1,68.094
1441,1,68.1428
1442,1,68.1915
1443,1,68.2403
1444,1,68.2891
1445,1,68.3378
1446,1,68.3866
1447,1,68.4354
1448,1,68.4841
1449,1,68.5329
1450,1,68.5817
1451,1,68.6305
1452,1,68.6792
1453,1,68.728
1454,1,68.7768
1455,1,68.8255
1456,1,68.8743
1457,1,68.9231
1458,1,68.9718
1459,1,69.0206
1460,1,69.0694
1461,1,69.1181
1462,1,69.1669
1463,1,69.2157
1464,1,69.2644
1465,1,69.3132
1466,1,69.362
1467,1,69.4107
1468,1,69.4595
1469,1,69.5083
1470,1,69.557
1471,1,69.6058
1472,1,69.6546
1473,1,69.7033
1474,1,69.7521
1475,1,69.8009
1476,1,69.8496
1477,1,69.8984
1478,1,69.9472
1479,1,69.9959
1480,1,70.0447
1481,1,70.0935
1482,1,70.1422
