t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
125,1,-142.028,1.27132e-08,-1.33935e-06,8.67167e-11,-8.74362e-09,2.17871e-12,-2.15005e-10
126,1,-141.565,2.0163e-08,-2.11993e-06,1.50917e-10,-1.51944e-08,4.00404e-12,-3.94632e-10
127,1,-141.101,3.15894e-08,-3.31472e-06,2.58685e-10,-2.60063e-08,7.23739e-12,-7.12402e-10
128,1,-140.638,4.89051e-08,-5.12165e-06,4.36909e-10,-4.386e-08,1.28726e-11,-1.2655e-09
129,1,-140.174,7.48392e-08,-7.82248e-06,7.2742e-10,-7.29187e-08,2.25403e-11,-2.21317e-09
130,1,-139.711,1.1324e-07,-1.18136e-05,1.19435e-09,-1.19555e-07,3.88744e-11,-3.81226e-09
131,1,-139.247,1.69469e-07,-1.76464e-05,1.93467e-09,-1.93388e-07,6.60651e-11,-6.47079e-09
132,1,-138.784,2.50918e-07,-2.60786e-05,3.09297e-09,-3.08741e-07,1.10681e-10,-1.08276e-08
133,1,-138.321,3.67657e-07,-3.81411e-05,4.88206e-09,-4.86654e-07,1.82873e-10,-1.78683e-08
134,0.999999,-137.857,5.33264e-07,-5.52204e-05,7.61108e-09,-7.5765e-07,2.9811e-10,-2.9093e-08
135,0.999999,-137.394,7.65854e-07,-7.91622e-05,1.17235e-08,-1.16544e-06,4.79649e-10,-4.67541e-08
136,0.999999,-136.93,1.08935e-06,-0.000112399,1.7848e-08,-1.77188e-06,7.62004e-10,-7.4189e-08
137,0.999998,-136.467,1.53501e-06,-0.000158102,2.68645e-08,-2.66345e-06,1.19574e-09,-1.16281e-07
138,0.999998,-136.003,2.14333e-06,-0.00022037,3.99917e-08,-3.95966e-06,1.85401e-09,-1.80085e-07
139,0.999997,-135.54,2.96621e-06,-0.000304446,5.88972e-08,-5.82385e-06,2.84143e-09,-2.75676e-07
140,0.999996,-135.076,4.06959e-06,-0.000416977,8.5839e-08,-8.47679e-06,4.30581e-09,-4.17269e-07
141,0.999994,-134.613,5.53647e-06,-0.000566308,1.23842e-07,-1.22137e-05,6.45363e-09,-6.24694e-07
142,0.999992,-134.149,7.47042e-06,-0.000762834,1.76914e-07,-1.74254e-05,9.57019e-09,-9.25312e-07
143,0.99999,-133.686,9.99951e-06,-0.00101938,2.50319e-07,-2.46238e-05,1.40454e-08,-1.35647e-06
144,0.999986,-133.222,1.32808e-05,-0.00135163,3.50891e-07,-3.44729e-05,2.04068e-08,-1.9686e-06
145,0.999982,-132.758,1.75054e-05,-0.00177863,4.87429e-07,-4.78261e-05,2.93603e-08,-2.82916e-06
