t,T+R,N_0
611,0.999971,1.10362e-09
612,0.999948,9.89703e-10
613,0.999938,8.90359e-10
614,0.999944,8.05713e-10
615,0.999963,7.35314e-10
616,0.99999,6.78209e-10
617,1.00002,6.33036e-10
618,1.00004,5.98126e-10
619,1.00005,5.71618e-10
620,1.00005,5.51564e-10
621,1.00003,5.36043e-10
622,1.00001,5.23245e-10
623,0.999988,5.11555e-10
624,0.999969,4.9961e-10
625,0.999959,4.8634e-10
626,0.999959,4.70989e-10
627,0.99997,4.53118e-10
628,0.999987,4.32588e-10
629,1.00001,4.0953e-10
630,1.00002,3.84302e-10
631,1.00003,3.57439e-10
632,1.00003,3.29594e-10
633,1.00003,3.01481e-10
634,1.00001,2.73818e-10
635,0.999998,2.47279e-10
636,0.999984,2.22453e-10
637,0.999975,1.99809e-10
638,0.999972,1.79684e-10
639,0.999977,1.62267e-10
640,0.999986,1.47603e-10
641,0.999999,1.35604e-10
642,1.00001,1.26064e-10
643,1.00002,1.18682e-10
644,1.00002,1.13093e-10
645,1.00002,1.08892e-10
646,1.00001,1.05666e-10
647,1,1.03017e-10
648,0.999992,1.00585e-10
649,0.999985,9.80683e-11
650,0.999982,9.52318e-11
651,0.999983,9.19159e-11
652,0.999988,8.80372e-11
653,0.999996,8.35845e-11
654,1,7.86111e-11
655,1.00001,7.32222e-11
656,1.00001,6.75611e-11
657,1.00001,6.17928e-11
658,1.00001,5.60889e-11
659,1,5.06128e-11
660,0.999998,4.55075e-11
661,0.999992,4.08869e-11
662,0.999988,3.68296e-11
663,0.999988,3.33766e-11
664,0.99999,3.05314e-11
665,0.999995,2.8264e-11
666,1,2.6515e-11
667,1.00001,2.52035e-11
668,1.00001,2.42345e-11
669,1.00001,2.35071e-11
670,1.00001,2.2922e-11
671,1,2.23886e-11
672,1,2.18305e-11
673,0.999996,2.11885e-11
674,0.999993,2.04235e-11
675,0.999992,1.95163e-11
676,0.999993,1.84668e-11
677,0.999996,1.72919e-11
678,0.999999,1.60217e-11
679,1,1.46961e-11
680,1.00001,1.33597e-11
681,1.00001,1.20577e-11
682,1.00001,1.08317e-11
683,1,9.71615e-12
684,1,8.73601e-12
685,0.999998,7.9056e-12
686,0.999996,7.22831e-12
687,0.999995,6.69739e-12
688,0.999995,6.29746e-12
689,0.999996,6.00656e-12
690,0.999999,5.79858e-12
691,1,5.64571e-12
692,1,5.52095e-12
693,1,5.40017e-12
