t,T+R,N_0,N_1
582,0.993305,5.08134e-05,2.09738e-05
583,0.992979,5.56708e-05,2.21136e-05
584,0.992737,5.98851e-05,2.31934e-05
585,0.99257,6.34653e-05,2.41285e-05
586,0.99247,6.64735e-05,2.48754e-05
587,0.992428,6.90117e-05,2.54312e-05
588,0.992439,7.12067e-05,2.58293e-05
589,0.992497,7.31941e-05,2.61319e-05
590,0.9926,7.51017e-05,2.64208e-05
591,0.992745,7.70355e-05,2.67869e-05
592,0.992932,7.90685e-05,2.73188e-05
593,0.993159,8.12333e-05,2.80929e-05
594,0.993425,8.35191e-05,2.91654e-05
595,0.99373,8.58741e-05,3.05658e-05
596,0.99407,8.8211e-05,3.22936e-05
597,0.994442,9.04166e-05,3.43185e-05
598,0.994838,9.23639e-05,3.65831e-05
599,0.995253,9.39247e-05,3.90077e-05
600,0.995678,9.49832e-05,4.14979e-05
601,0.996105,9.5447e-05,4.39532e-05
602,0.996526,9.52562e-05,4.62751e-05
603,0.996933,9.43892e-05,4.83759e-05
604,0.997319,9.28644e-05,5.01857e-05
605,0.99768,9.07388e-05,5.16569e-05
606,0.998011,8.81018e-05,5.27679e-05
607,0.998313,8.50677e-05,5.35226e-05
608,0.998583,8.17647e-05,5.39492e-05
609,0.998825,7.83246e-05,5.40952e-05
610,0.999038,7.48713e-05,5.40225e-05
611,0.999227,7.15117e-05,5.38003e-05
612,0.999393,6.83284e-05,5.34978e-05
613,0.999537,6.53748e-05,5.31785e-05
614,0.999662,6.26742e-05,5.28938e-05
615,0.999766,6.02211e-05,5.26794e-05
616,0.999851,5.79857e-05,5.25532e-05
617,0.999914,5.59205e-05,5.25147e-05
618,0.999955,5.39676e-05,5.25467e-05
619,0.999973,5.20673e-05,5.26185e-05
620,0.999966,5.01649e-05,5.26902e-05
621,0.999935,4.82177e-05,5.27172e-05
622,0.999881,4.61986e-05,5.26559e-05
623,0.999805,4.40986e-05,5.24679e-05
624,0.99971,4.19261e-05,5.21236e-05
625,0.999599,3.97048e-05,5.16052e-05
626,0.999476,3.7469e-05,5.09078e-05
627,0.999345,3.5259e-05,5.0039e-05
628,0.99921,3.31151e-05,4.90182e-05
629,0.999073,3.10723e-05,4.78737e-05
630,0.998938,2.91564e-05,4.66402e-05
631,0.998806,2.73807e-05,4.53554e-05
632,0.998678,2.57451e-05,4.40573e-05
633,0.998555,2.42368e-05,4.27815e-05
634,0.998436,2.28325e-05,4.15593e-05
635,0.998322,2.15021e-05,4.04168e-05
636,0.998211,2.0213e-05,3.9375e-05
637,0.998104,1.89343e-05,3.84503e-05
638,0.998001,1.76413e-05,3.76558e-05
639,0.997903,1.63188e-05,3.70035e-05
640,0.997809,1.49629e-05,3.65055e-05
641,0.997723,1.35821e-05,3.6177e-05
