E,T,R0,R,N_R0,E/V0
4702.35,3.37521,0.0183038,0.0183038,0.00539375,47.0235
4702.55,3.49252,0.024375,0.024375,0.00693082,47.0255
4702.75,3.40003,0.0375962,0.0375962,0.0109367,47.0275
4702.94,3.39343,0.0519529,0.0519529,0.015079,47.0294
4703.14,3.34987,0.0614091,0.0614091,0.0180018,47.0314
4703.34,3.66726,0.065855,0.065855,0.0176407,47.0334
4703.53,3.69093,0.0622191,0.0622191,0.0165778,47.0353
4703.73,3.54105,0.090971,0.090971,0.0250469,47.0373
4703.93,3.54295,0.160936,0.160936,0.0434506,47.0393
4704.12,3.54242,0.157312,0.157312,0.0425197,47.0412
4704.32,3.61263,0.189743,0.189743,0.0499012,47.0432
4704.52,3.55632,0.204479,0.204479,0.0543711,47.0452
4704.72,3.79082,0.212771,0.212771,0.0531452,47.0472
4704.91,3.88547,0.215513,0.215513,0.0525516,47.0491
4705.11,3.77305,0.246365,0.246365,0.0612938,47.0511
4705.31,3.98756,0.325055,0.325055,0.0753731,47.0531
4705.5,3.88162,0.349622,0.349622,0.0826286,47.055
4705.7,3.83155,0.346061,0.346061,0.0828369,47.057
4705.9,3.93449,0.318672,0.318672,0.0749258,47.059
4706.09,3.96038,0.39243,0.39243,0.0901555,47.0609
4706.29,3.99249,0.438918,0.438918,0.0990471,47.0629
4706.49,4.11525,0.422225,0.422225,0.0930527,47.0649
4706.69,3.96425,0.465306,0.465306,0.105046,47.0669
4706.88,4.1702,0.474981,0.474981,0.102252,47.0688
4707.08,4.0377,0.461615,0.461615,0.102597,47.0708
4707.28,4.00018,0.392859,0.392859,0.0894277,47.0728
4707.47,4.02391,0.453604,0.453604,0.101307,47.0747
4707.67,3.90525,0.45372,0.45372,0.104089,47.0767
4707.87,3.9963,0.423391,0.423391,0.0957965,47.0787
4708.06,4.12255,0.422295,0.422295,0.0929174,47.0806
4708.26,4.17338,0.354291,0.354291,0.0782502,47.0826
4708.46,4.03566,0.300332,0.300332,0.0692649,47.0846
4708.66,4.05455,0.339011,0.339011,0.0771609,47.0866
4708.85,4.04019,0.317735,0.317735,0.0729097,47.0885
4709.05,4.00528,0.342758,0.342758,0.0788305,47.0905
4709.25,3.96597,0.344822,0.344822,0.0799904,47.0925
4709.44,4.04767,0.357027,0.357027,0.081056,47.0944
4709.64,4.04513,0.29082,0.29082,0.0670718,47.0964
4709.84,3.90655,0.215587,0.215587,0.0522999,47.0984
4710.04,4.0229,0.189583,0.189583,0.045005,47.1004
4710.23,3.77174,0.194699,0.194699,0.0490865,47.1023
4710.43,3.76113,0.171755,0.171755,0.0436716,47.1043
4710.63,3.87842,0.139314,0.139314,0.0346746,47.1063
4710.82,3.6874,0.0932604,0.0932604,0.0246677,47.1082
4711.02,3.83577,0.0563909,0.0563909,0.0144883,47.1102
4711.22,3.77651,0.0462797,0.0462797,0.0121063,47.1122
4711.42,3.75827,0.0442592,0.0442592,0.0116394,47.1142
4711.61,3.84558,0.0470305,0.0470305,0.012082,47.1161
4711.81,3.67988,0.0324281,0.0324281,0.0087353,47.1181
4712.01,3.80537,0.0356337,0.0356337,0.00927719,47.1201
4712.2,3.76941,0.0158839,0.0158839,0.00419621,47.122
4712.4,3.85104,0.00937801,0.00937801,0.00242927,47.124
4712.6,4.02192,0.0264902,0.0264902,0.00654337,47.126
4712.8,3.77829,0.0398771,0.0398771,0.010444,47.128
4712.99,3.93063,0.0540526,0.0540526,0.0135651,47.1299
4713.19,3.98158,0.0362855,0.0362855,0.00903104,47.1319
4713.39,4.0753,0.0699518,0.0699518,0.0168751,47.1339
4713.58,4.06932,0.0756777,0.0756777,0.0182576,47.1358
4713.78,3.96945,0.112957,0.112957,0.0276692,47.1378
4713.98,3.93316,0.140031,0.140031,0.0343787,47.1398
4714.18,3.87069,0.205368,0.205368,0.0503841,47.1418
4714.37,3.96809,0.185726,0.185726,0.0447122,47.1437
4714.57,3.97709,0.190713,0.190713,0.0457586,47.1457
4714.77,4.18987,0.233174,0.233174,0.0527179,47.1477
4714.96,4.25375,0.329751,0.329751,0.071943,47.1496
4715.16,4.19907,0.279898,0.279898,0.0624915,47.1516
4715.36,4.34554,0.324734,0.324734,0.0695322,47.1536
4715.56,4.32353,0.345126,0.345126,0.073924,47.1556
4715.75,4.08441,0.408547,0.408547,0.0909307,47.1575
4715.95,4.10929,0.360799,0.360799,0.080714,47.1595
4716.15,4.15814,0.432056,0.432056,0.0941258,47.1615
4716.35,4.44551,0.508614,0.508614,0.102665,47.1635
4716.54,4.5022,0.48401,0.48401,0.0970697,47.1654
4716.74,4.55529,0.546308,0.546308,0.107086,47.1674
4716.94,4.45223,0.51497,0.51497,0.103674,47.1694
4717.13,4.28319,0.438539,0.438539,0.0928769,47.1713
4717.33,4.6336,0.416063,0.416063,0.0823942,47.1733
4717.53,4.52488,0.435618,0.435618,0.0878174,47.1753
4717.73,4.57976,0.444411,0.444411,0.0884547,47.1773
4717.92,4.49027,0.526496,0.526496,0.104947,47.1792
4718.12,4.52665,0.467834,0.467834,0.09367,47.1812
4718.32,4.44607,0.493391,0.493391,0.0998876,47.1832
4718.52,4.46171,0.342257,0.342257,0.0712447,47.1852
4718.71,4.51643,0.362777,0.362777,0.0743517,47.1871
4718.91,4.30277,0.342393,0.342393,0.0737097,47.1891
4719.11,4.35836,0.300981,0.300981,0.0645974,47.1911
4719.3,4.4294,0.373392,0.373392,0.0777448,47.193
4719.5,4.39705,0.277189,0.277189,0.0593015,47.195
