t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
122,0.166175,9.35944,0.565389,31.8443,0.118284,6.66209,0.0573008,3.22734,0.0928515,5.22966
123,0.175834,9.98368,0.56203,31.9115,0.113694,6.45547,0.0574538,3.26217,0.0909883,5.16623
124,0.185921,10.6413,0.557651,31.9173,0.109308,6.25625,0.057551,3.29395,0.0895692,5.12652
125,0.196422,11.3318,0.552265,31.8609,0.105138,6.06557,0.0575878,3.32231,0.0885873,5.11072
126,0.207317,12.0549,0.545889,31.7419,0.101201,5.88457,0.0575603,3.34697,0.0880321,5.11882
127,0.218589,12.81,0.538546,31.5604,0.0975097,5.71436,0.0574658,3.36767,0.0878899,5.15061
128,0.230215,13.5962,0.530262,31.3166,0.0940759,5.556,0.0573029,3.38424,0.0881435,5.20564
129,0.242175,14.4129,0.52107,31.0111,0.0909107,5.41048,0.0570718,3.39659,0.0887727,5.28324
130,0.254444,15.2589,0.511004,30.6448,0.0880231,5.27871,0.0567743,3.40474,0.0897542,5.38253
131,0.266998,16.1334,0.500106,30.2189,0.0854202,5.16151,0.0564139,3.40881,0.0910617,5.5024
132,0.279812,17.035,0.488419,29.735,0.0831067,5.05954,0.055996,3.40904,0.0926663,5.64154
133,0.292858,17.9625,0.475992,29.195,0.0810849,4.97336,0.0555277,3.4058,0.0945371,5.79844
134,0.30611,18.9145,0.462877,28.6012,0.0793548,4.90334,0.0550177,3.39955,0.0966408,5.97144
135,0.319538,19.8896,0.44913,27.956,0.0779135,4.84971,0.0544762,3.39086,0.0989428,6.15867
136,0.333113,20.886,0.434809,27.2623,0.0767557,4.81254,0.0539145,3.3804,0.101407,6.35818
137,0.346807,21.9022,0.419976,26.5232,0.0758736,4.79172,0.0533444,3.36891,0.103998,6.56788
138,0.36059,22.9365,0.404696,25.742,0.0752572,4.78698,0.0527785,3.35715,0.106678,6.7856
139,0.374431,23.987,0.389035,24.9225,0.0748943,4.79792,0.0522289,3.34591,0.109411,7.00916
140,0.3883,25.0518,0.37306,24.0685,0.0747709,4.82396,0.0517072,3.33597,0.112162,7.23632
141,0.402168,26.1291,0.35684,23.1841,0.0748716,4.86445,0.0512237,3.32803,0.114897,7.46491
142,0.416004,27.2168,0.340446,22.2734,0.0751799,4.91859,0.0507873,3.32272,0.117583,7.69277
143,0.42978,28.3131,0.323947,21.341,0.0756785,4.98555,0.0504045,3.32055,0.12019,7.91787
144,0.443467,29.4158,0.307413,20.3911,0.0763501,5.06442,0.0500796,3.32186,0.122691,8.13827
145,0.457037,30.5231,0.290912,19.4285,0.077177,5.15426,0.0498138,3.32681,0.125061,8.35218
146,0.470462,31.633,0.274512,18.4577,0.0781424,5.25415,0.0496053,3.33537,0.127278,8.55797
147,0.483717,32.7434,0.258279,17.4832,0.0792301,5.36319,0.0494489,3.34726,0.129325,8.75419
148,0.496777,33.8525,0.242275,16.5096,0.0804251,5.4805,0.0493366,3.362,0.131186,8.93958
149,0.509618,34.9583,0.226562,15.5414,0.0817136,5.60531,0.0492569,3.37888,0.13285,9.11308
150,0.522218,36.059,0.211196,14.583,0.0830836,5.73689,0.0491957,3.39694,0.134306,9.27381
151,0.534557,37.1529,0.196232,13.6385,0.0845244,5.87463,0.0491362,3.41507,0.135551,9.42108
152,0.546614,38.2381,0.181719,12.712,0.0860273,6.018,0.0490598,3.43196,0.13658,9.55439
153,0.558373,39.3132,0.167703,11.8074,0.0875852,6.16659,0.0489466,3.44617,0.137392,9.67334
154,0.569818,40.3766,0.154226,10.9282,0.0891925,6.32007,0.0487756,3.45618,0.137989,9.77772
155,0.580934,41.4268,0.141323,10.0779,0.0908449,6.47821,0.0485263,3.46045,0.138372,9.86737
156,0.59171,42.4625,0.129028,9.25939,0.0925395,6.64086,0.0481788,3.45743,0.138544,9.94223
157,0.602135,43.4826,0.117368,8.4756,0.0942742,6.80792,0.0477145,3.44566,0.138509,10.0023
158,0.612201,44.4859,0.106364,7.72898,0.0960476,6.97935,0.0471175,3.42382,0.13827,10.0475
159,0.621901,45.4714,0.0960343,7.02172,0.0978586,7.15511,0.0463747,3.39077,0.137831,10.0778
160,0.631231,46.4383,0.0863918,6.35566,0.099706,7.33516,0.0454766,3.34562,0.137195,10.0931
161,0.640187,47.3859,0.0774445,5.73235,0.101588,7.51946,0.0444178,3.28776,0.136363,10.0934
162,0.648768,48.3135,0.0691961,5.15301,0.103503,7.70787,0.0431973,3.21689,0.135335,10.0784
163,0.656975,49.2208,0.0616459,4.61853,0.105448,7.90022,0.041819,3.13309,0.134112,10.0477
164,0.664809,50.1072,0.0547893,4.12952,0.107419,8.09624,0.0402911,3.03677,0.132691,10.0011
165,0.672276,50.9727,0.0486178,3.68626,0.109409,8.29552,0.0386269,2.92874,0.131071,9.93792
166,0.679378,51.8171,0.0431194,3.28877,0.111412,8.49756,0.0368437,2.81012,0.129246,9.85778
167,0.686124,52.6404,0.0382787,2.93679,0.11342,8.70172,0.0349629,2.6824,0.127214,9.76004
168,0.692521,53.4426,0.0340776,2.62981,0.115422,8.90722,0.0330092,2.54736,0.124971,9.64412
169,0.698577,54.2242,0.0304953,2.36707,0.117406,9.11315,0.0310099,2.40701,0.122512,9.50945
170,0.704303,54.9852,0.0275083,2.14759,0.11936,9.31847,0.0289941,2.26358,0.119834,9.3555
171,0.70971,55.7262,0.0250917,1.97019,0.121269,9.52203,0.026992,2.1194,0.116937,9.18187
172,0.714808,56.4476,0.0232183,1.83352,0.123119,9.72255,0.0250335,1.97687,0.113821,8.9883
173,0.719612,57.15,0.0218597,1.73605,0.124893,9.9187,0.023148,1.83837,0.110488,8.77472
174,0.724132,57.834,0.0209863,1.6761,0.126574,10.1091,0.0213627,1.70617,0.106944,8.5413
175,0.728384,58.5004,0.0205675,1.65188,0.128147,10.2922,0.0197023,1.5824,0.103199,8.28848
176,0.73238,59.1498,0.0205721,1.66148,0.129595,10.4666,0.0181879,1.46893,0.099265,8.01702
177,0.736135,59.7831,0.0209682,1.70288,0.130902,10.6308,0.0168367,1.36734,0.0951585,7.72802
178,0.739662,60.401,0.021724,1.77399,0.132053,10.7835,0.0156609,1.27887,0.0909002,7.42293
179,0.742976,61.0045,0.0228072,1.87266,0.133034,10.9232,0.0146679,1.20436,0.0865148,7.10358
180,0.746091,61.5943,0.0241857,1.99667,0.133832,11.0486,0.0138602,1.14424,0.0820308,6.77213
181,0.749021,62.1715,0.0258275,2.14378,0.134436,11.1587,0.0132346,1.09852,0.0774802,6.43114
182,0.75178,62.7368,0.027701,2.31168,0.134837,11.2523,0.0127832,1.06677,0.0728984,6.08345
183,0.75438,63.2912,0.0297749,2.49806,0.135028,11.3286,0.0124933,1.04817,0.0683234,5.73222
184,0.756836,63.8356,0.0320182,2.70059,0.135002,11.3868,0.0123482,1.04152,0.0637952,5.38083
185,0.759159,64.3708,0.0344007,2.91691,0.134757,11.4264,0.0123276,1.04528,0.0593554,5.03288
186,0.761362,64.8977,0.0368925,3.14468,0.134292,11.4469,0.0124082,1.05766,0.055046,4.69207
187,0.763456,65.4171,0.0394644,3.38153,0.133606,11.4481,0.0125651,1.07664,0.0509088,4.36215
188,0.765452,65.9298,0.0420879,3.62511,0.132704,11.43,0.0127721,1.10008,0.0469845,4.04686
189,0.76736,66.4365,0.044735,3.87307,0.13159,11.3928,0.013003,1.12577,0.0433117,3.74984
190,0.76919,66.938,0.0473786,4.12307,0.130272,11.3368,0.0132323,1.15153,0.0399266,3.47457
191,0.770951,67.4349,0.049992,4.37279,0.128759,11.2625,0.0134362,1.17526,0.0368615,3.22427
192,0.772651,67.9279,0.0525495,4.61991,0.127061,11.1706,0.0135932,1.19505,0.0341444,3.00182
193,0.774298,68.4175,0.0550262,4.86216,0.125193,11.0621,0.0136849,1.20921,0.0317987,2.80976
194,0.775896,68.9042,0.0573979,5.09727,0.123167,10.938,0.0136965,1.21633,0.0298423,2.65017
195,0.777454,69.3885,0.0596413,5.32304,0.121001,10.7994,0.0136172,1.21535,0.0282873,2.52467
196,0.778974,69.8707,0.0617341,5.53729,0.118712,10.6479,0.0134406,1.20557,0.0271399,2.43434
197,0.780461,70.3511,0.0636551,5.73791,0.116319,10.485,0.0131645,1.18665,0.0264005,2.37975
198,0.781918,70.83,0.0653844,5.92284,0.113843,10.3125,0.0127911,1.15868,0.0260633,2.36094
199,0.783347,71.3074,0.066903,6.09013,0.111307,10.1322,0.0123265,1.12207,0.026117,2.37741
200,0.784749,71.7835,0.0681938,6.23791,0.108732,9.9461,0.0117806,1.07761,0.0265447,2.42813
201,0.786123,72.2582,0.0692411,6.36444,0.106144,9.75649,0.0111665,1.02639,0.0273249,2.51162
202,0.78747,72.7313,0.0700308,6.4681,0.103568,9.56564,0.0104998,0.969768,0.0284315,2.62596
203,0.788786,73.2027,0.0705512,6.54745,0.10103,9.37599,0.00979808,0.909304,0.0298351,2.76882
204,0.790069,73.672,0.0707925,6.60123,0.0985555,9.19005,0.00908011,0.846698,0.0315029,2.93757
205,0.791315,74.1387,0.0707474,6.62837,0.0961724,9.01045,0.00836509,0.78373,0.0334005,3.12931
206,0.792518,74.6024,0.0704112,6.62805,0.0939074,8.83983,0.00767194,0.722186,0.0354917,3.34096
207,0.793672,75.0624,0.0697821,6.59972,0.0917873,8.68088,0.00701864,0.663795,0.0377401,3.56931
208,0.79477,75.5179,0.0688613,6.5431,0.0898381,8.53629,0.00642153,0.610165,0.0401092,3.81112
209,0.795803,75.968,0.0676534,6.45825,0.088085,8.40867,0.00589485,0.562727,0.0425637,4.06316
210,0.796762,76.4118,0.0661664,6.34555,0.0865517,8.30056,0.0054502,0.52269,0.0450697,4.32232
211,0.797636,76.848,0.0644119,6.20574,0.0852601,8.21436,0.0050963,0.491001,0.0475957,4.58559
212,0.798414,77.2755,0.0624054,6.03999,0.0842297,8.15228,0.00483873,0.468323,0.0501126,4.85021
213,0.799082,77.693,0.0601661,5.84982,0.0834774,8.11632,0.00467988,0.455014,0.0525944,5.11364
214,0.799628,78.0989,0.0577175,5.63721,0.0830168,8.10817,0.00461898,0.451131,0.0550186,5.37361
215,0.800037,78.4916,0.0550866,5.40455,0.082858,8.1292,0.0046523,0.456437,0.057366,5.62818
216,0.800294,78.8696,0.0523049,5.15469,0.0830071,8.18041,0.00477338,0.47042,0.0596211,5.87571
217,0.800382,79.2309,0.0494072,4.89088,0.0834658,8.26239,0.00497342,0.492326,0.061772,6.11489
218,0.800285,79.5737,0.0464322,4.61684,0.0842313,8.37527,0.00524171,0.521192,0.06381,6.34474
219,0.799985,79.8961,0.0434223,4.33667,0.0852963,8.51871,0.00556609,0.555896,0.06573,6.56458
220,0.799466,80.1959,0.0404228,4.05489,0.0866484,8.69186,0.0059335,0.595201,0.0675296,6.77402
221,0.798708,80.4711,0.037482,3.77637,0.0882705,8.89339,0.00633047,0.637805,0.0692093,6.97295
222,0.797693,80.7195,0.0346505,3.50633,0.0901409,9.12146,0.00674363,0.682396,0.0707718,7.16148
223,0.796403,80.9388,0.0319813,3.25027,0.0922334,9.37372,0.00716019,0.727693,0.0722218,7.33993
224,0.79482,81.1269,0.0295283,3.01394,0.0945179,9.64739,0.00756834,0.772497,0.0735655,7.5088
225,0.792925,81.2814,0.0273469,2.80328,0.0969603,9.93925,0.00795761,0.815722,0.0748105,7.66871
226,0.7907,81.4002,0.0254924,2.62437,0.0995238,10.2457,0.00831916,0.856433,0.075965,7.82037
227,0.788127,81.4809,0.0240201,2.48333,0.102169,10.5628,0.00864598,0.893868,0.0770377,7.96458
228,0.785191,81.5214,0.0229842,2.38631,0.104854,10.8864,0.00893296,0.927453,0.0780374,8.10213
229,0.781875,81.5195,0.0224373,2.33935,0.107538,11.2121,0.00917701,0.95681,0.0789728,8.23384
230,0.778163,81.4732,0.0224298,2.34838,0.110178,11.5355,0.00937694,0.98176,0.0798523,8.36048
231,0.774043,81.3805,0.0230089,2.41909,0.112731,11.8522,0.00953339,1.00231,0.0806833,8.48279
232,0.769501,81.2395,0.0242186,2.55686,0.115159,12.1578,0.00964867,1.01865,0.0814728,8.60143
233,0.764526,81.0484,0.0260984,2.76673,0.117422,12.4481,0.00972657,1.03113,0.0822266,8.71695
234,0.759109,80.8057,0.0286834,3.05329,0.119486,12.7191,0.00977212,1.04022,0.0829496,8.82983
235,0.75324,80.5099,0.0320031,3.42064,0.12132,12.9673,0.00979136,1.04655,0.0836456,8.94043
236,0.746914,80.1597,0.0360817,3.87233,0.122896,13.1893,0.00979112,1.05079,0.084317,9.049
237,0.740126,79.754,0.040937,4.41126,0.124192,13.3826,0.00977878,1.05374,0.0849655,9.15565
