t,Norm_0,AvgX_0,Norm_1,AvgX_1
590,0.949114,228.556,0.050886,12.2538
591,0.957641,230.897,0.0423591,10.2132
592,0.96542,233.062,0.0345802,8.34803
593,0.972437,235.048,0.0275629,6.66222
594,0.978681,236.85,0.0213193,5.15946
595,0.98414,238.465,0.0158604,3.8431
596,0.988804,239.89,0.0111957,2.71615
597,0.992667,241.122,0.00733344,1.78132
598,0.99572,242.159,0.00428026,1.04096
599,0.997958,243,0.00204154,0.497108
600,0.999379,243.641,0.00062117,0.151437
601,0.999978,244.083,2.16441e-05,0.00528306
602,0.999756,244.323,0.000244006,0.0596309
603,0.998712,244.362,0.00128787,0.315112
604,0.996849,244.199,0.0031514,0.772004
605,0.994169,243.834,0.00583136,1.43023
606,0.990677,243.268,0.00932306,2.28935
607,0.98638,242.501,0.0136204,3.34857
608,0.981284,241.535,0.0187159,4.60676
609,0.975399,240.37,0.0246006,6.06239
610,0.968736,239.01,0.0312643,7.71363
611,0.961305,237.455,0.0386953,9.55826
612,0.953119,235.71,0.0468806,11.5937
613,0.944194,233.775,0.055806,13.8171
614,0.934544,231.656,0.0654558,16.2253
615,0.924187,229.355,0.0758133,18.8145
616,0.91314,226.876,0.0868602,21.581
617,0.901423,224.223,0.0985774,24.5205
618,0.889056,221.402,0.110944,27.6284
619,0.876061,218.416,0.123939,30.9
620,0.86246,215.271,0.13754,34.3301
621,0.848278,211.973,0.151722,37.9132
622,0.833539,208.527,0.166461,41.6437
623,0.818268,204.939,0.181732,45.5154
624,0.802494,201.215,0.197506,49.5222
625,0.786242,197.362,0.213758,53.6576
626,0.769541,193.387,0.230459,57.9148
627,0.752422,189.297,0.247578,62.2867
628,0.734912,185.099,0.265088,66.7663
629,0.717044,180.799,0.282956,71.3461
630,0.698848,176.407,0.301152,76.0184
631,0.680356,171.929,0.319644,80.7755
632,0.661601,167.374,0.338399,85.6095
633,0.642614,162.75,0.357386,90.5123
634,0.62343,158.064,0.37657,95.4755
635,0.604082,153.326,0.395918,100.491
636,0.584603,148.544,0.415397,105.55
637,0.565028,143.726,0.434972,110.644
