t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6
110,0.00596159,0.303076,0.424779,21.595,0.0769582,3.91241,0.172355,8.76223,0.123254,6.26598,0.0415564,2.11265,0.155136,7.88682
111,0.00440653,0.226037,0.438358,22.4859,0.0769146,3.9454,0.16925,8.68185,0.119867,6.14868,0.040734,2.08949,0.15047,7.71847
112,0.00318856,0.165019,0.451844,23.3845,0.0766569,3.96726,0.166289,8.60605,0.116456,6.027,0.0399216,2.06608,0.145643,7.53753
113,0.00232444,0.121361,0.465179,24.2874,0.0761913,3.97801,0.163485,8.53569,0.113026,5.90118,0.0391161,2.04229,0.140678,7.34494
114,0.00183066,0.0964173,0.478302,25.1913,0.0755273,3.97789,0.160844,8.47139,0.109582,5.7715,0.0383136,2.01791,0.1356,7.1418
115,0.00172333,0.0915526,0.491152,26.0927,0.0746782,3.96731,0.158372,8.41356,0.10613,5.63821,0.03751,1.99273,0.130435,6.9294
116,0.00201811,0.108135,0.50367,26.9879,0.0736602,3.9469,0.156065,8.36237,0.102674,5.50156,0.0367009,1.96653,0.125211,6.70912
117,0.00273004,0.14753,0.515797,27.8734,0.0724917,3.91742,0.15392,8.31778,0.0992208,5.36185,0.0358822,1.93906,0.119958,6.48247
118,0.00387349,0.211092,0.527474,28.7455,0.0711933,3.87978,0.151928,8.27954,0.0957751,5.2194,0.0350505,1.91013,0.114706,6.25105
119,0.00546201,0.300155,0.538645,29.6003,0.0697864,3.83499,0.150076,8.24718,0.0923437,5.07458,0.0342027,1.87955,0.109484,6.01647
120,0.00750824,0.416031,0.549256,30.4342,0.0682933,3.78412,0.14835,8.22007,0.0889342,4.92783,0.033337,1.8472,0.104321,5.78039
121,0.0100238,0.559996,0.559256,31.2436,0.0667364,3.72832,0.146733,8.19742,0.0855549,4.77964,0.0324522,1.81299,0.0992445,5.54443
122,0.0130194,0.733289,0.568593,32.0248,0.0651375,3.66872,0.145204,8.17831,0.0822154,4.6306,0.0315485,1.7769,0.0942815,5.3102
123,0.0165043,0.937099,0.577224,32.7743,0.0635175,3.60647,0.143745,8.16169,0.0789265,4.48137,0.0306271,1.73898,0.089456,5.07923
124,0.0204867,1.17256,0.585105,33.4886,0.061896,3.54264,0.142333,8.14645,0.0756998,4.3327,0.0296899,1.69931,0.0847899,4.85297
125,0.0249735,1.44075,0.592197,34.1646,0.060291,3.47827,0.140947,8.13142,0.0725486,4.18542,0.0287401,1.65806,0.0803031,4.63279
126,0.0299701,1.74268,0.598464,34.799,0.0587182,3.4143,0.139567,8.11542,0.0694867,4.04046,0.0277815,1.61541,0.076013,4.41994
127,0.0354806,2.07927,0.603875,35.3889,0.0571915,3.35159,0.138171,8.09726,0.0665289,3.8988,0.0268183,1.57163,0.0719343,4.21557
128,0.0415076,2.45138,0.608403,35.9315,0.0557222,3.29088,0.136742,8.07581,0.0636907,3.76149,0.0258553,1.52698,0.0680796,4.02069
129,0.0480522,2.85979,0.612023,36.4241,0.0543195,3.23278,0.135261,8.04996,0.0609876,3.62963,0.0248977,1.48177,0.0644588,3.83622
130,0.0551139,3.30516,0.614717,36.8644,0.0529901,3.1778,0.133713,8.01872,0.0584353,3.50435,0.0239505,1.4363,0.0610799,3.66294
131,0.0626907,3.78808,0.61647,37.2502,0.0517389,3.12632,0.132084,7.98119,0.0560489,3.38675,0.0230188,1.39091,0.0579486,3.50154
132,0.0707789,4.30903,0.617269,37.5794,0.0505684,3.07861,0.130364,7.93659,0.0538427,3.27795,0.0221075,1.34591,0.0550689,3.3526
133,0.0793736,4.86839,0.617108,37.8504,0.0494795,3.03483,0.128544,7.88428,0.0518299,3.179,0.0212214,1.30161,0.052443,3.2166
134,0.0884677,5.46642,0.615984,38.0617,0.0484716,2.99506,0.126618,7.82375,0.0500221,3.09086,0.0203647,1.25833,0.0500716,3.09392
