t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6,Norm_7,AvgX_7
124,0.160663,9.19557,0.147221,8.42625,0.309726,17.7273,0.0490738,2.80875,0.124862,7.1465,0.0845682,4.84028,0.0263837,1.51008,0.0975022,5.58057
125,0.166502,9.60574,0.158473,9.1425,0.300551,17.3392,0.0485428,2.8005,0.120944,6.97741,0.0834715,4.81558,0.0255424,1.47357,0.095973,5.53681
126,0.172669,10.0402,0.16969,9.86699,0.291077,16.9253,0.0479286,2.78692,0.116984,6.8023,0.0823864,4.79054,0.0247264,1.43777,0.0945393,5.4972
127,0.179166,10.4997,0.180805,10.5957,0.281363,16.4887,0.0472353,2.76813,0.113007,6.62257,0.0812978,4.7643,0.0239379,1.40284,0.093187,5.46104
128,0.185998,10.9848,0.191753,11.3247,0.271471,16.0327,0.0464684,2.74436,0.109039,6.43972,0.0801908,4.73596,0.0231787,1.3689,0.0919008,5.42754
129,0.193169,11.4963,0.202467,12.0497,0.261459,15.5605,0.0456344,2.7159,0.105106,6.25528,0.0790505,4.70463,0.02245,1.33609,0.0906646,5.39583
130,0.200681,12.0348,0.212883,12.7665,0.251387,15.0756,0.044741,2.6831,0.101231,6.07077,0.077863,4.66942,0.021753,1.30452,0.0894613,5.36496
131,0.208537,12.6008,0.222939,13.4711,0.241312,14.5813,0.0437966,2.64641,0.0974386,5.88772,0.0766154,4.62948,0.0210887,1.27429,0.0882735,5.33392
132,0.216736,13.1949,0.232576,14.1592,0.23129,14.0809,0.0428104,2.6063,0.0937513,5.70759,0.0752961,4.58404,0.0204578,1.24547,0.0870834,5.30165
133,0.225278,13.8175,0.241737,14.8269,0.221374,13.578,0.041792,2.56332,0.0901893,5.53177,0.0738957,4.5324,0.0198608,1.21816,0.085873,5.26703
134,0.234164,14.469,0.250369,15.4703,0.211616,13.0757,0.0407515,2.51804,0.0867705,5.36155,0.0724063,4.47399,0.0192982,1.19244,0.0846246,5.22896
135,0.24339,15.1498,0.258424,16.0855,0.202063,12.5774,0.0396991,2.47106,0.0835103,5.19808,0.0708224,4.40833,0.0187703,1.16835,0.0833211,5.1863
136,0.252954,15.8601,0.265856,16.669,0.19276,12.0859,0.0386449,2.42302,0.0804216,5.04239,0.0691406,4.33508,0.0182774,1.14598,0.0819459,5.13796
137,0.262851,16.6001,0.272625,17.2173,0.183748,11.6044,0.0375992,2.37454,0.0775142,4.89532,0.0673596,4.25402,0.0178195,1.12537,0.0804838,5.08287
138,0.273075,17.3699,0.278697,17.7274,0.175064,11.1355,0.0365717,2.32627,0.0747949,4.75757,0.0654803,4.16509,0.0173964,1.10656,0.0789212,5.02004
139,0.283621,18.1695,0.28404,18.1963,0.16674,10.6818,0.0355721,2.27884,0.0722676,4.62964,0.0635055,4.06832,0.0170079,1.08957,0.077246,4.94857
140,0.294479,18.9988,0.288631,18.6215,0.158806,10.2456,0.0346096,2.23289,0.0699333,4.51186,0.0614396,3.96387,0.0166531,1.0744,0.0754486,4.86769
141,0.305642,19.8577,0.29245,19.0006,0.151284,9.82901,0.0336927,2.18903,0.0677901,4.40436,0.0592888,3.85202,0.016331,1.06104,0.0735218,4.77675
