E,T
24.7874,8.04727e+13
24.8406,8.32509e+13
24.8938,8.60012e+13
24.947,8.91591e+13
25.0003,9.25062e+13
25.0537,9.63737e+13
25.1071,9.94898e+13
25.1606,1.03884e+14
25.2141,1.07601e+14
25.2677,1.11453e+14
25.3214,1.15765e+14
25.3751,1.19487e+14
25.4288,1.24063e+14
25.4826,1.29444e+14
25.5365,1.3422e+14
25.5904,1.38244e+14
25.6444,1.43625e+14
25.6985,1.48577e+14
25.7526,1.53274e+14
25.8067,1.58951e+14
25.8609,1.65368e+14
25.9152,1.69956e+14
25.9696,1.77109e+14
26.0239,1.81283e+14
26.0784,1.88653e+14
26.1329,1.93301e+14
26.1874,1.97419e+14
26.2421,2.04428e+14
26.2967,2.09794e+14
26.3515,2.1393e+14
26.4062,2.18205e+14
26.4611,2.22896e+14
26.516,2.26029e+14
26.5709,2.32153e+14
26.6259,2.36294e+14
26.681,2.36341e+14
26.7361,2.40022e+14
26.7913,2.40199e+14
26.8466,2.38713e+14
26.9019,2.42232e+14
26.9572,2.40832e+14
27.0126,2.38176e+14
27.0681,2.36772e+14
27.1236,2.3393e+14
27.1792,2.31268e+14
27.2348,2.25356e+14
27.2905,2.24142e+14
27.3463,2.17725e+14
27.4021,2.12024e+14
27.458,2.06854e+14
27.5139,2.0394e+14
27.5699,1.9518e+14
27.6259,1.92488e+14
27.682,1.84937e+14
27.7381,1.80929e+14
27.7943,1.78192e+14
27.8506,1.72194e+14
27.9069,1.66396e+14
27.9633,1.60823e+14
28.0197,1.56944e+14
28.0762,1.54101e+14
28.1328,1.4823e+14
28.1894,1.45134e+14
28.246,1.42512e+14
28.3028,1.37978e+14
28.3595,1.33812e+14
28.4164,1.32108e+14
28.4733,1.29061e+14
28.5302,1.28044e+14
28.5872,1.25827e+14
28.6443,1.22927e+14
28.7014,1.21953e+14
28.7586,1.1979e+14
28.8158,1.18734e+14
28.8731,1.1789e+14
28.9304,1.17363e+14
28.9878,1.17118e+14
29.0453,1.16043e+14
29.1028,1.15689e+14
29.1604,1.16452e+14
29.218,1.167e+14
29.2757,1.16749e+14
29.3334,1.18543e+14
29.3912,1.18808e+14
29.4491,1.19933e+14
29.507,1.22337e+14
29.565,1.23108e+14
29.623,1.26208e+14
29.6811,1.28285e+14
29.7392,1.30544e+14
29.7974,1.3404e+14
29.8557,1.37115e+14
29.914,1.42281e+14
29.9724,1.45071e+14
30.0308,1.50941e+14
30.0893,1.5545e+14
30.1478,1.61474e+14
30.2064,1.67658e+14
30.2651,1.7472e+14
30.3238,1.81257e+14
30.3825,1.91142e+14
30.4414,1.98769e+14
30.5002,2.0915e+14
30.5592,2.1834e+14
30.6182,2.31382e+14
30.6772,2.45712e+14
30.7363,2.5763e+14
30.7955,2.71564e+14
30.8547,2.87905e+14
30.914,3.06929e+14
30.9733,3.25676e+14
31.0327,3.44779e+14
31.0922,3.63408e+14
31.1517,3.87217e+14
31.2112,4.09908e+14
31.2709,4.3681e+14
31.3305,4.62562e+14
31.3903,4.87615e+14
31.4501,5.03227e+14
31.5099,5.38492e+14
31.5698,5.64646e+14
31.6298,5.82741e+14
31.6898,5.98819e+14
31.7499,6.21272e+14
31.81,6.39524e+14
31.8702,6.4177e+14
31.9304,6.41064e+14
31.9907,6.41653e+14
32.0511,6.38115e+14
32.1115,6.21574e+14
32.172,6.13903e+14
32.2325,5.8915e+14
32.2931,5.66509e+14
32.3538,5.46578e+14
32.4145,4.97598e+14
32.4752,4.78679e+14
32.536,4.42144e+14
32.5969,4.06953e+14
32.6578,3.75997e+14
32.7188,3.52203e+14
32.7799,3.19177e+14
32.841,2.90533e+14
