x,x_g,x_ex,k,init,g,ex,E,T
-367.375,4.43698e-29,9.13448e-30,-14.7694,2.45094e-29,8.64839e-30,4.71967e-30,157.17,0
-367.179,9.71215e-30,1.40812e-29,-14.7616,2.70895e-29,2.97382e-30,1.00437e-29,157.003,0
-366.984,3.08466e-29,5.66546e-29,-14.7537,3.02691e-29,2.2189e-30,1.59087e-30,156.836,0
-366.789,6.19232e-29,5.76657e-29,-14.7459,3.32944e-29,4.58306e-30,2.02257e-30,156.669,0
-366.593,1.93093e-29,6.94377e-31,-14.738,3.67278e-29,2.92113e-30,6.91032e-30,156.502,0
-366.398,7.54839e-30,3.60775e-29,-14.7301,4.07303e-29,1.64481e-29,2.3124e-30,156.335,0
-366.203,3.47903e-29,6.88039e-29,-14.7223,4.41578e-29,2.78205e-29,4.28833e-30,156.169,0
-366.007,2.71001e-29,3.69706e-29,-14.7144,4.85739e-29,4.43834e-30,1.01305e-29,156.002,0
-365.812,6.90824e-30,5.42515e-30,-14.7066,5.27095e-29,2.10793e-29,3.56508e-30,155.836,0
-365.617,1.64149e-29,7.30475e-29,-14.6987,5.68744e-29,2.90021e-30,3.90916e-31,155.669,0
-365.421,3.72405e-29,8.09023e-29,-14.6909,6.24833e-29,1.11609e-30,5.02836e-30,155.503,0
-365.226,1.97569e-29,1.43875e-29,-14.683,6.68968e-29,2.39895e-29,1.11807e-29,155.337,0
-365.031,3.15469e-30,3.09273e-29,-14.6752,7.25185e-29,4.01615e-29,2.87366e-29,155.171,0
-364.835,1.44988e-29,8.91975e-29,-14.6673,7.76376e-29,7.66233e-30,2.72913e-30,155.004,0
-364.64,2.50791e-29,6.7865e-29,-14.6595,8.30501e-29,1.04637e-29,3.83708e-31,154.839,0
-364.444,6.23421e-30,4.52445e-30,-14.6516,8.74523e-29,5.46264e-31,5.36811e-30,154.673,0
-364.249,2.45627e-30,6.80919e-29,-14.6437,9.46545e-29,5.99731e-30,7.34392e-30,154.507,0
-364.054,1.65017e-29,1.08845e-28,-14.6359,1.00195e-28,2.07381e-30,3.50621e-30,154.341,0
-363.858,1.88124e-29,3.16231e-29,-14.628,1.07417e-28,2.14131e-29,4.69449e-30,154.176,0
-363.663,6.95588e-30,1.52003e-29,-14.6202,1.13845e-28,3.36141e-29,3.02954e-31,154.01,0
-363.468,1.86269e-30,1.09424e-28,-14.6123,1.21708e-28,1.39557e-29,3.65915e-31,153.845,0
-363.272,1.5469e-29,9.26012e-29,-14.6045,1.28901e-28,2.73772e-29,4.42209e-30,153.679,0
-363.077,1.94268e-29,9.9293e-30,-14.5966,1.36095e-28,7.86248e-30,1.76105e-29,153.514,0
-362.882,7.19011e-30,4.06366e-29,-14.5888,1.43367e-28,9.1331e-30,2.85603e-30,153.349,0
-362.686,1.29394e-29,1.31657e-28,-14.5809,1.51799e-28,2.89738e-30,1.0146e-29,153.184,0
