t,T+R,N_0
638,1,1.45728e-16
639,1,1.28441e-16
640,1,1.12789e-16
641,1,1.00478e-16
642,1,9.24152e-17
643,1,8.85326e-17
644,1,8.78567e-17
645,1,8.87963e-17
646,1,8.95633e-17
647,1,8.86154e-17
648,1,8.50138e-17
649,1,7.86114e-17
650,1,7.00342e-17
651,1,6.04738e-17
652,1,5.13533e-17
653,1,4.39583e-17
654,1,3.91266e-17
655,1,3.70693e-17
656,1,3.73568e-17
657,1,3.90622e-17
658,1,4.10154e-17
659,1,4.21014e-17
660,1,4.15265e-17
661,1,3.89902e-17
662,1,3.47271e-17
663,1,2.94138e-17
664,1,2.39727e-17
665,1,1.93272e-17
666,1,1.61721e-17
667,1,1.48168e-17
668,1,1.51326e-17
669,1,1.66128e-17
670,1,1.85188e-17
671,1,2.00747e-17
672,1,2.06567e-17
673,1,1.99351e-17
674,1,1.79358e-17
675,1,1.50112e-17
676,1,1.17333e-17
677,1,8.73798e-18
678,1,6.56356e-18
679,1,5.52323e-18
680,1,5.64196e-18
681,1,6.66881e-18
682,1,8.15628e-18
683,1,9.58214e-18
684,1,1.0481e-17
685,1,1.05533e-17
686,1,9.7273e-18
687,1,8.16233e-18
688,1,6.19529e-18
689,1,4.24713e-18
690,1,2.71361e-18
691,1,1.86877e-18
692,1,1.80448e-18
693,1,2.41922e-18
694,1,3.45557e-18
695,1,4.57375e-18
696,1,5.43995e-18
697,1,5.80708e-18
698,1,5.56886e-18
699,1,4.77651e-18
700,1,3.61626e-18
701,1,2.35575e-18
702,1,1.27345e-18
703,1,5.89349e-19
704,1,4.13907e-19
705,1,7.27327e-19
706,1,1.39256e-18
707,1,2.19682e-18
708,1,2.90891e-18
709,1,3.33712e-18
710,1,3.3731e-18
711,1,3.01256e-18
712,1,2.34937e-18
713,1,1.54662e-18
714,1,7.92667e-19
715,1,2.53622e-19
716,1,3.37701e-20
717,1,1.53321e-19
718,1,5.48366e-19
719,1,1.0919e-18
720,1,1.62937e-18
721,1,2.01865e-18
722,1,2.16409e-18
723,1,2.03663e-18
724,1,1.67618e-18
725,1,1.17731e-18
726,1,6.62877e-19
727,1,2.52512e-19
728,1,3.36707e-20
729,1,4.20096e-20
730,1,2.5548e-19
731,1,6.03098e-19
732,1,9.85527e-19
733,1,1.30158e-18
734,1,1.47343e-18
735,1,1.46418e-18
736,1,1.28396e-18
737,1,9.84109e-19
738,1,6.41915e-19
739,1,3.4026e-19
740,1,1.47276e-19
741,1,1.00713e-19
742,1,2.00396e-19
743,1,4.10311e-19
744,1,6.69523e-19
745,1,9.08795e-19
746,1,1.06838e-18
747,1,1.11233e-18
748,1,1.03569e-18
749,1,8.63465e-19
750,1,6.4236e-19
751,1,4.27907e-19
752,1,2.7054e-19
753,1,2.03819e-19
754,1,2.37316e-19
755,1,3.55631e-19
756,1,5.23447e-19
757,1,6.95347e-19
758,1,8.27694e-19
759,1,8.89481e-19
760,1,8.69288e-19
761,1,7.76758e-19
762,1,6.38642e-19
763,1,4.90982e-19
764,1,3.697e-19
765,1,3.02028e-19
766,1,3.00549e-19
767,1,3.61107e-19
768,1,4.64676e-19
769,1,5.82765e-19
770,1,6.84935e-19
771,1,7.46499e-19
772,1,7.54445e-19
773,1,7.0996e-19
774,1,6.27172e-19
775,1,5.28642e-19
776,1,4.39174e-19
777,1,3.79642e-19
778,1,3.62312e-19
779,1,3.88528e-19
780,1,4.49054e-19
781,1,5.26866e-19
782,1,6.01631e-19
783,1,6.54878e-19
784,1,6.74562e-19
785,1,6.57754e-19
786,1,6.10847e-19
787,1,5.473e-19
788,1,4.83713e-19
789,1,4.35479e-19
790,1,4.13148e-19
791,1,4.20319e-19
792,1,4.53292e-19
793,1,5.0242e-19
794,1,5.54689e-19
795,1,5.97001e-19
796,1,6.19394e-19
797,1,6.17423e-19
798,1,5.93017e-19
799,1,5.53634e-19
800,1,5.09964e-19
801,1,4.72979e-19
802,1,4.51177e-19
803,1,4.48741e-19
804,1,4.64912e-19
805,1,4.94571e-19
806,1,5.29692e-19
807,1,5.61384e-19
808,1,5.82031e-19
809,1,5.87108e-19
810,1,5.76215e-19
811,1,5.53008e-19
812,1,5.24041e-19
813,1,4.96875e-19
814,1,4.78056e-19
815,1,4.71546e-19
816,1,4.78025e-19
817,1,4.95019e-19
818,1,5.17748e-19
819,1,5.40386e-19
820,1,5.5743e-19
821,1,5.6499e-19
822,1,5.61689e-19
