t,T+R,N_0
931,1,0.992723
932,1,0.992723
933,1,0.992723
934,1,0.992723
935,1,0.992723
936,1,0.992723
937,1,0.992723
938,1,0.992723
939,1,0.992723
940,1,0.992723
941,1,0.992723
942,1,0.992723
943,1,0.992723
944,1,0.992723
945,1,0.992723
946,1,0.992723
947,1,0.992723
948,1,0.992723
949,1,0.992723
950,1,0.992723
951,1,0.992723
952,1,0.992723
953,1,0.992723
954,1,0.992723
955,1,0.992723
956,1,0.992723
957,1,0.992723
958,1,0.992723
959,1,0.992723
960,1,0.992723
961,1,0.992723
962,1,0.992723
963,1,0.992723
964,1,0.992723
965,1,0.992723
966,1,0.992723
967,1,0.992723
968,1,0.992723
969,1,0.992723
970,1,0.992723
971,1,0.992723
972,1,0.992723
973,1,0.992723
974,1,0.992723
975,1,0.992723
976,1,0.992723
977,1,0.992723
978,1,0.992723
979,1,0.992723
980,1,0.992723
981,1,0.992723
982,1,0.992723
983,1,0.992723
984,1,0.992723
985,1,0.992723
986,1,0.992723
987,1,0.992723
988,1,0.992723
989,1,0.992723
990,1,0.992723
991,1,0.992723
992,1,0.992723
993,1,0.992723
994,1,0.992723
995,1,0.992723
996,1,0.992723
997,1,0.992723
998,1,0.992723
999,1,0.992723
1000,1,0.992723
1001,1,0.992723
1002,1,0.992723
1003,1,0.992723
1004,1,0.992723
1005,1,0.992723
1006,1,0.992723
1007,1,0.992723
1008,1,0.992723
1009,1,0.992723
1010,1,0.992723
1011,1,0.992723
1012,1,0.992723
1013,1,0.992723
1014,1,0.992723
1015,1,0.992723
1016,1,0.992723
1017,1,0.992723
1018,1,0.992723
1019,1,0.992723
1020,1,0.992723
1021,1,0.992723
1022,1,0.992723
1023,1,0.992723
1024,1,0.992723
1025,1,0.992723
1026,1,0.992723
1027,1,0.992723
1028,1,0.992723
1029,1,0.992723
1030,1,0.992723
1031,1,0.992723
1032,1,0.992723
1033,1,0.992723
1034,1,0.992723
1035,1,0.992723
1036,1,0.992723
1037,1,0.992723
1038,1,0.992723
1039,1,0.992723
1040,1,0.992723
1041,1,0.992723
1042,1,0.992723
1043,1,0.992723
1044,1,0.992723
1045,1,0.992723
1046,1,0.992723
1047,1,0.992723
1048,1,0.992723
1049,1,0.992723
1050,1,0.992723
1051,1,0.992723
1052,1,0.992723
1053,1,0.992723
1054,1,0.992723
1055,1,0.992723
1056,1,0.992723
