t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
127,1.0124,2.28434e-28,8.45389e-28,1.6649e-29,3.46594e-29,2.08673e-31,6.90269e-29,-1.1839e-32,2.05479e-30
128,1.01264,2.40594e-28,8.57422e-28,1.07116e-29,3.63269e-29,3.40251e-31,7.65844e-29,-5.27403e-33,2.34617e-30
129,1.01288,1.34824e-28,9.33555e-28,1.10148e-29,4.09838e-29,6.73202e-31,7.38058e-29,-4.94141e-34,1.92851e-30
130,1.01309,1.39879e-28,8.33579e-28,1.99116e-29,3.74567e-29,2.86636e-31,7.22088e-29,2.5555e-32,1.09665e-30
131,1.01328,1.13691e-28,9.72562e-28,7.15189e-30,2.54349e-29,-2.97675e-33,6.86647e-29,4.34052e-33,1.17816e-30
132,1.01345,1.02097e-28,9.27726e-28,-1.01092e-30,4.42841e-29,1.93772e-32,6.4588e-29,-2.33536e-32,1.90357e-30
133,1.0136,6.54626e-29,9.44264e-28,5.30797e-30,4.20706e-29,-5.73254e-32,6.42118e-29,1.73519e-32,7.89332e-31
134,1.01373,5.10149e-29,8.7086e-28,1.41697e-29,4.43329e-29,3.20339e-31,5.28671e-29,6.14587e-32,9.66842e-31
135,1.01384,5.6711e-29,9.29427e-28,1.71124e-29,5.49694e-29,4.06483e-31,5.37749e-29,2.89239e-32,7.14989e-31
136,1.01393,6.17944e-29,1.02203e-27,1.59587e-29,5.58487e-29,2.05495e-31,4.96752e-29,1.16259e-31,2.57974e-30
137,1.01401,7.76714e-29,9.3409e-28,2.01328e-29,6.38124e-29,2.3369e-32,5.19727e-29,5.98649e-34,2.68458e-30
138,1.01408,6.53215e-29,1.11624e-27,2.47458e-29,5.87567e-29,4.9e-31,6.25623e-29,6.77044e-32,2.38385e-30
139,1.01414,1.01909e-28,1.02368e-27,3.47344e-29,6.92135e-29,-4.05429e-31,6.42796e-29,1.63872e-32,2.78995e-30
140,1.01421,1.60415e-28,1.04406e-27,3.29275e-29,9.59153e-29,9.77356e-31,5.94273e-29,1.83807e-31,3.28474e-30
141,1.01427,1.36372e-28,1.10491e-27,5.06785e-29,1.02242e-28,1.58551e-30,7.69635e-29,4.50163e-32,4.68363e-30
142,1.01433,2.16664e-28,1.13987e-27,4.17062e-29,1.02454e-28,4.52286e-31,7.83793e-29,-1.26482e-32,4.86201e-30
143,1.01439,2.56396e-28,1.17743e-27,4.14816e-29,9.89471e-29,1.08322e-30,7.51125e-29,-1.07715e-33,6.0319e-30
144,1.01444,2.75293e-28,1.17624e-27,5.19569e-29,1.16271e-28,3.65592e-31,7.81151e-29,-2.34725e-32,7.25687e-30
145,1.01447,2.6356e-28,1.20675e-27,5.59352e-29,1.16596e-28,4.78665e-31,8.36e-29,4.05607e-32,7.67417e-30
146,1.01448,3.04735e-28,1.10722e-27,4.52633e-29,9.14562e-29,6.1705e-31,9.39081e-29,1.22055e-32,8.32486e-30
147,1.01447,3.4644e-28,1.14502e-27,4.78989e-29,9.67893e-29,9.9764e-31,9.07571e-29,1.14306e-32,9.59231e-30
148,1.01443,4.13256e-28,1.14335e-27,3.78045e-29,1.36167e-28,7.2027e-31,9.19223e-29,1.26457e-32,9.81252e-30
149,1.01436,4.03063e-28,1.08789e-27,4.63762e-29,1.01472e-28,1.1458e-30,8.92487e-29,3.46532e-32,1.0963e-29
150,1.01424,3.95827e-28,1.1981e-27,4.79763e-29,8.05001e-29,1.09088e-30,8.57109e-29,4.69272e-32,8.37824e-30
151,1.01407,4.59153e-28,1.16379e-27,2.85395e-29,1.02033e-28,5.70489e-31,8.17602e-29,-3.04232e-33,1.17887e-29
152,1.01385,4.32785e-28,1.07677e-27,3.01754e-29,9.41279e-29,1.14705e-30,8.09702e-29,4.44906e-32,9.78446e-30
153,1.01356,4.38474e-28,1.26897e-27,2.90791e-29,7.21095e-29,1.17383e-31,6.79402e-29,2.72891e-32,1.28359e-29
154,1.01321,4.71329e-28,1.20292e-27,2.13545e-29,6.2505e-29,-9.12178e-32,6.68087e-29,1.51195e-32,7.0432e-30
155,1.01279,4.70616e-28,1.20874e-27,1.43348e-29,5.21935e-29,4.40281e-31,5.77738e-29,4.29981e-34,9.57025e-30
156,1.01232,3.65238e-28,1.16275e-27,7.16212e-30,3.5731e-29,-2.05576e-32,5.01634e-29,-5.27676e-34,9.07742e-30
157,1.0118,4.43612e-28,1.2413e-27,7.15794e-30,1.62854e-29,2.23891e-31,4.2526e-29,3.40174e-32,8.83069e-30
158,1.01123,4.70651e-28,1.2382e-27,4.26184e-30,1.5561e-29,-7.43148e-32,3.72074e-29,2.06684e-32,9.07223e-30
159,1.01062,3.92157e-28,1.2348e-27,-1.5865e-30,7.78959e-30,1.00358e-31,3.32278e-29,5.35552e-32,8.44159e-30
160,1.00998,3.65336e-28,1.26339e-27,6.56158e-32,2.96734e-30,1.34137e-32,2.25912e-29,6.35805e-34,1.02651e-29
161,1.00931,4.19385e-28,1.1747e-27,-3.02269e-30,7.15437e-32,-2.41033e-32,2.12284e-29,-2.55687e-32,7.87536e-30
162,1.00863,4.25097e-28,1.19153e-27,-4.61541e-30,-1.70874e-30,2.11437e-31,1.54679e-29,2.1046e-33,7.13238e-30
163,1.00793,4.44111e-28,1.2017e-27,7.17125e-30,3.81857e-30,-1.48651e-31,1.30354e-29,2.01187e-32,7.13226e-30
164,1.00724,3.03224e-28,1.13743e-27,4.53174e-30,-2.31474e-30,-3.53838e-32,8.57867e-30,4.96768e-32,9.12676e-30
165,1.00654,4.62752e-28,9.88726e-28,1.20723e-29,4.66672e-30,1.20682e-30,6.8393e-30,-1.13801e-32,6.80764e-30
166,1.00586,6.28193e-28,1.02541e-27,1.58555e-29,1.33264e-29,4.62473e-31,6.68309e-30,-5.02704e-34,5.19625e-30
167,1.00519,6.16727e-28,8.74142e-28,2.93581e-29,2.39996e-29,2.21608e-31,3.44636e-30,9.02703e-33,6.78137e-30
168,1.00454,9.05e-28,8.72724e-28,3.29993e-29,1.41418e-29,7.6791e-31,4.4703e-30,1.47327e-32,6.60961e-30
169,1.00391,6.42291e-28,8.16911e-28,4.63256e-29,2.39195e-29,8.18875e-32,5.04406e-30,4.81454e-33,5.28866e-30
170,1.00331,9.52544e-28,7.77207e-28,4.71165e-29,3.57424e-29,3.746e-31,6.02477e-30,3.84749e-32,4.76986e-30
171,1.00274,1.03683e-27,6.38856e-28,5.20331e-29,5.27859e-29,1.59046e-31,9.66842e-30,3.35346e-32,4.16166e-30
172,1.0022,1.12191e-27,6.58508e-28,5.16315e-29,2.91936e-29,4.82701e-32,1.24397e-29,-3.24775e-32,4.61793e-30
173,1.0017,1.16092e-27,4.08449e-28,5.8994e-29,4.50398e-29,5.11636e-31,1.34526e-29,-9.01531e-33,3.33621e-30
174,1.00123,1.50216e-27,4.50358e-28,5.34159e-29,4.94433e-29,5.91913e-31,1.43113e-29,2.55561e-32,2.64057e-30
175,1.0008,1.51882e-27,4.16646e-28,6.08014e-29,4.4629e-29,5.58528e-31,1.77573e-29,3.74033e-33,2.34374e-30
176,1.00042,2.06203e-27,2.95696e-28,6.09502e-29,4.42521e-29,4.8003e-31,1.82959e-29,1.71844e-31,1.40287e-30
177,1.00009,1.95397e-27,2.24437e-28,6.40545e-29,4.5533e-29,8.29061e-32,2.33313e-29,5.8463e-32,1.33903e-30
178,0.999799,1.79709e-27,1.93048e-28,5.27922e-29,4.25895e-29,1.12711e-30,2.02816e-29,3.87195e-32,9.9317e-31
179,0.999563,2.14295e-27,9.71376e-29,4.68667e-29,4.54659e-29,1.08355e-30,2.19899e-29,1.2112e-32,1.13476e-30
180,0.999381,2.08353e-27,7.89837e-29,4.71374e-29,5.41993e-29,1.71717e-30,2.13707e-29,2.06328e-31,3.54945e-31
181,0.999252,2.06155e-27,3.80845e-29,5.45109e-29,3.92722e-29,6.67543e-31,2.15895e-29,-4.99725e-33,1.31745e-30
182,0.99918,2.00517e-27,4.72983e-29,4.21107e-29,4.11715e-29,1.01853e-30,2.21817e-29,5.47808e-32,8.31451e-31
183,0.999167,1.59305e-27,8.01705e-29,4.12351e-29,5.01843e-29,2.14547e-30,1.91255e-29,7.19915e-32,1.26178e-30
184,0.999213,1.824e-27,8.00537e-29,3.21604e-29,5.01025e-29,1.20504e-30,1.65064e-29,1.21026e-31,1.802e-30
185,0.99932,1.6442e-27,9.39456e-29,2.63259e-29,3.51409e-29,1.11959e-30,1.63149e-29,5.62349e-32,1.24582e-30
186,0.999488,1.39244e-27,1.29565e-28,4.05278e-29,4.90064e-29,1.31887e-30,1.34621e-29,1.72954e-32,1.70104e-30
187,0.999719,1.07043e-27,1.36421e-28,4.79498e-29,6.01874e-29,5.85573e-31,1.50692e-29,1.35062e-31,2.19708e-30
188,1.00001,8.26118e-28,1.36296e-28,5.43415e-29,8.86121e-29,3.58044e-31,1.23097e-29,8.83507e-32,2.07693e-30
189,1.00037,3.84488e-28,2.53016e-28,5.98997e-29,8.55384e-29,8.45334e-31,1.36834e-29,5.96174e-32,2.41764e-30
190,1.00078,5.62765e-28,4.48937e-28,3.36164e-29,4.89629e-29,4.42842e-31,1.74878e-29,-2.71922e-32,2.67236e-30
191,1.00126,7.64745e-28,3.89289e-28,6.10396e-29,8.22785e-29,8.11911e-32,1.35356e-29,2.8375e-32,1.57309e-30
192,1.00179,6.73447e-28,3.14363e-28,6.93539e-29,1.12911e-28,5.73656e-31,1.55619e-29,2.56627e-32,1.43392e-30
