t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
151,0.566324,39.3607,0.242245,16.8366,0.109595,7.61706,0.0072907,0.50672,0.0745455,5.18107
152,0.563757,39.4373,0.238869,16.71,0.111838,7.82359,0.00575268,0.402426,0.0797828,5.58117
153,0.560164,39.4393,0.236279,16.6356,0.113875,8.01759,0.0044023,0.309951,0.0852799,6.00428
154,0.555595,39.3688,0.234454,16.6131,0.115699,8.19828,0.003239,0.229512,0.0910131,6.44908
155,0.550112,39.2288,0.233368,16.6417,0.117303,8.36493,0.002261,0.161233,0.0969563,6.91402
156,0.543779,39.0229,0.232993,16.7201,0.118682,8.51689,0.00146529,0.105153,0.103081,7.39735
157,0.536672,38.7552,0.233291,16.8469,0.119832,8.65355,0.000847736,0.0612184,0.109357,7.89712
158,0.52887,38.4306,0.234224,17.02,0.12075,8.77439,0.000403099,0.0292914,0.115752,8.41117
159,0.520461,38.0544,0.235747,17.2371,0.121435,8.87894,0.000125103,0.0091471,0.122232,8.9372
160,0.511535,37.6326,0.237812,17.4953,0.121885,8.96682,6.50492e-06,0.000478553,0.128761,9.4727
161,0.50219,37.1715,0.240367,17.7917,0.1221,9.0377,3.91712e-05,0.0028994,0.135304,10.015
162,0.492524,36.6781,0.243358,18.1228,0.122081,9.09134,0.000214155,0.015948,0.141822,10.5614
163,0.482643,36.1598,0.246728,18.4849,0.12183,9.12755,0.000521783,0.0390922,0.148277,11.109
164,0.472651,35.6241,0.250415,18.874,0.12135,9.14625,0.000951748,0.071734,0.154632,11.6547
165,0.462656,35.0791,0.25436,19.2859,0.120645,9.14741,0.0014932,0.113216,0.160846,12.1955
166,0.452767,34.5331,0.258498,19.716,0.119718,9.13106,0.00213483,0.162827,0.166882,12.7283
167,0.44309,33.9945,0.262767,20.1599,0.118576,9.09732,0.00286501,0.219808,0.172701,13.2499
168,0.433734,33.4718,0.267103,20.6126,0.117225,9.04638,0.00367185,0.283361,0.178266,13.757
169,0.424805,32.9737,0.27144,21.0694,0.115671,8.9785,0.00454331,0.352655,0.183541,14.2466
170,0.416405,32.5089,0.275716,21.5252,0.113923,8.89399,0.0054673,0.426834,0.188489,14.7154
171,0.408634,32.0858,0.279868,21.9751,0.111988,8.79325,0.00643182,0.505025,0.193079,15.1605
172,0.401589,31.713,0.283835,22.4141,0.109875,8.67672,0.00742499,0.586343,0.197276,15.5787
173,0.39536,31.3987,0.287558,22.8372,0.107594,8.54491,0.00843519,0.669905,0.201052,15.9671
174,0.390034,31.1508,0.290981,23.2397,0.105155,8.39838,0.00945116,0.754832,0.204379,16.3231
175,0.385691,30.9769,0.294048,23.6166,0.102568,8.23776,0.010462,0.840262,0.207231,16.6438
