t,T+R,N_0,N_1,N_2,N_3,N_4
225,1.14471,7.52193e-28,5.08371e-28,6.81113e-29,1.10439e-28,6.67774e-29
226,1.14505,7.96018e-28,3.93909e-28,7.66875e-29,1.5079e-28,9.14518e-29
227,1.14535,9.2674e-28,4.78949e-28,6.29528e-29,1.10904e-28,9.60374e-29
228,1.14561,8.69766e-28,4.4719e-28,8.2081e-29,8.40433e-29,1.31526e-28
229,1.14585,8.42982e-28,3.62151e-28,1.04692e-28,5.65491e-29,1.39491e-28
230,1.14606,7.4073e-28,3.39003e-28,1.12141e-28,5.00832e-29,1.78822e-28
231,1.14625,7.466e-28,3.2204e-28,9.90988e-29,7.5444e-29,1.77048e-28
232,1.14642,9.77582e-28,3.36496e-28,1.00175e-28,6.13131e-29,2.07707e-28
233,1.14659,1.04529e-27,2.71015e-28,1.28191e-28,2.71892e-29,2.26525e-28
234,1.14675,8.18307e-28,2.6211e-28,1.3738e-28,2.08644e-29,2.65166e-28
235,1.14692,8.28947e-28,2.52682e-28,1.24306e-28,4.66701e-29,3.07685e-28
236,1.14709,1.07569e-27,2.82677e-28,1.05557e-28,6.81397e-29,3.12719e-28
237,1.14727,1.16675e-27,2.99265e-28,1.40488e-28,3.85163e-29,3.49011e-28
238,1.14746,1.04635e-27,3.31853e-28,1.539e-28,2.84096e-29,3.76374e-28
239,1.14766,8.78664e-28,2.86509e-28,1.43772e-28,2.89421e-29,3.96543e-28
240,1.14789,1.14078e-27,3.95303e-28,1.00587e-28,7.11479e-29,3.90055e-28
241,1.14814,1.24549e-27,4.39694e-28,1.21462e-28,5.35578e-29,3.8915e-28
242,1.14841,1.19986e-27,5.36188e-28,1.66167e-28,1.7597e-29,4.36273e-28
243,1.1487,1.07682e-27,4.97521e-28,1.53981e-28,5.29333e-29,4.64493e-28
244,1.14902,1.14194e-27,6.17343e-28,1.50477e-28,6.41211e-29,4.19279e-28
245,1.14936,1.40585e-27,6.56022e-28,1.33352e-28,5.31836e-29,3.83495e-28
246,1.14973,1.28342e-27,6.46651e-28,1.73348e-28,2.82934e-29,4.08928e-28
247,1.15013,1.29083e-27,6.07561e-28,1.55711e-28,1.06528e-29,4.28043e-28
248,1.15055,1.31357e-27,5.29147e-28,1.3575e-28,4.72725e-29,3.93769e-28
249,1.15099,1.44761e-27,6.00768e-28,9.60985e-29,4.58832e-29,3.10002e-28
250,1.15145,1.33648e-27,7.90081e-28,1.35832e-28,3.31419e-29,2.81869e-28
251,1.15192,1.06932e-27,6.03635e-28,1.46509e-28,-1.39291e-30,3.21846e-28
252,1.15241,1.047e-27,6.48394e-28,1.25144e-28,2.528e-29,3.30377e-28
253,1.15292,1.1243e-27,6.29476e-28,7.62173e-29,3.4405e-29,2.84003e-28
254,1.15342,9.91526e-28,8.36765e-28,8.69543e-29,4.4582e-29,2.69038e-28
255,1.15393,8.9682e-28,7.62622e-28,1.3425e-28,-9.27204e-30,2.70894e-28
256,1.15444,7.9675e-28,6.75384e-28,9.97014e-29,-7.66766e-31,2.8163e-28
257,1.15495,8.69305e-28,7.68992e-28,4.46046e-29,1.69753e-29,2.69191e-28
258,1.15544,9.8455e-28,9.34036e-28,6.57266e-29,2.35017e-29,2.51706e-28
259,1.15591,7.84117e-28,1.07764e-27,1.07157e-28,-7.61483e-30,2.40309e-28
260,1.15637,8.26089e-28,9.02385e-28,5.95337e-29,1.09348e-29,2.91084e-28
261,1.1568,9.84234e-28,1.009e-27,6.27153e-29,4.7943e-30,2.73919e-28
262,1.15719,8.32167e-28,1.04004e-27,7.32101e-29,7.13747e-31,2.23723e-28
263,1.15756,7.5515e-28,1.39117e-27,6.80068e-29,-8.95866e-30,2.19688e-28
264,1.15788,8.78095e-28,1.26532e-27,7.75936e-29,5.8484e-30,2.43085e-28
265,1.15816,9.7663e-28,1.15581e-27,3.91425e-29,3.69082e-30,2.41772e-28
266,1.15839,9.41048e-28,1.26832e-27,6.4637e-29,1.1303e-29,1.90795e-28
267,1.15856,8.38385e-28,1.52238e-27,7.98832e-29,-1.14518e-29,1.69789e-28
268,1.15868,8.62394e-28,1.48823e-27,5.65767e-29,7.46476e-30,2.15226e-28
269,1.15874,9.28115e-28,1.3527e-27,3.86976e-29,4.36664e-30,2.0254e-28
270,1.15874,1.0908e-27,1.44817e-27,4.22691e-29,-7.4558e-30,1.47508e-28
271,1.15868,8.8252e-28,1.5606e-27,7.53872e-29,-1.80358e-29,1.40487e-28
272,1.15854,9.37772e-28,1.531e-27,3.82569e-29,-2.72682e-30,1.1726e-28
273,1.15835,1.11002e-27,1.47515e-27,4.64793e-29,6.43291e-31,1.21887e-28
274,1.15808,9.62959e-28,1.63458e-27,5.95378e-29,-1.00209e-29,7.20017e-29
275,1.15774,9.7377e-28,1.43429e-27,6.14803e-29,-6.3114e-30,3.80082e-29
276,1.15734,1.08988e-27,1.56175e-27,8.31954e-29,-7.65583e-31,5.66498e-29
277,1.15687,1.18791e-27,1.34921e-27,4.47181e-29,4.40418e-30,4.11392e-29
278,1.15633,1.20686e-27,1.13771e-27,8.34575e-29,3.97397e-30,2.19062e-29
279,1.15573,1.12341e-27,1.38708e-27,1.01556e-28,-9.30215e-30,-3.0823e-30
280,1.15507,1.07063e-27,1.04143e-27,8.14057e-29,2.62093e-30,-1.97845e-30
281,1.15435,1.27878e-27,8.51692e-28,7.20165e-29,1.36164e-29,6.40621e-30
282,1.15358,1.3928e-27,8.72202e-28,9.21483e-29,2.32815e-29,-1.43842e-30
283,1.15276,1.43958e-27,7.60676e-28,1.05499e-28,1.23648e-29,-1.74794e-30
284,1.15189,1.27423e-27,6.23015e-28,1.03003e-28,1.55196e-29,-1.11868e-30
285,1.15098,1.37408e-27,5.37783e-28,9.56798e-29,4.87456e-29,1.9973e-30
286,1.15003,1.33891e-27,4.33534e-28,9.1267e-29,5.82603e-29,7.81785e-30
287,1.14905,1.20198e-27,4.05898e-28,1.44822e-28,4.96624e-29,8.99123e-30
288,1.14805,1.38196e-27,3.43432e-28,1.11103e-28,9.44831e-29,1.10289e-29
289,1.14703,1.3666e-27,1.78232e-28,9.80314e-29,1.22297e-28,1.53621e-29
290,1.14599,1.37978e-27,2.22772e-28,1.31779e-28,1.21629e-28,2.11713e-29
291,1.14494,1.2649e-27,2.37072e-28,1.15064e-28,1.56842e-28,1.56635e-29
292,1.14389,1.33635e-27,2.88959e-28,1.4576e-28,1.98103e-28,1.449e-29
293,1.14285,1.2542e-27,5.38858e-29,1.60424e-28,2.1444e-28,1.63514e-29
