t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5
135,0.0511804,3.18571,0.611602,38.069,0.0384552,2.39364,0.236924,14.7473,0.00071363,0.0444197,0.0611251,3.80472
136,0.0605932,3.79916,0.6004,37.6447,0.0342844,2.14961,0.241669,15.1525,0.000635585,0.0398508,0.0624177,3.91355
137,0.0721096,4.554,0.589117,37.205,0.0298653,1.88611,0.245035,15.4749,0.000558686,0.0352832,0.0633149,3.99858
138,0.0856526,5.44822,0.577861,36.7567,0.0255705,1.62649,0.246688,15.6914,0.000494954,0.0314832,0.0637331,4.05395
139,0.101144,6.47954,0.566706,36.3046,0.021754,1.39362,0.246329,15.7804,0.000447675,0.0286792,0.0636202,4.07567
140,0.118505,7.64557,0.555688,35.8511,0.0187173,1.20758,0.243728,15.7245,0.000412829,0.0266343,0.0629488,4.06124
141,0.137659,8.94376,0.544813,35.3968,0.016677,1.08351,0.238766,15.5128,0.000383737,0.0249316,0.0617013,4.00877
142,0.158527,10.3715,0.534058,34.9404,0.0157419,1.02991,0.231456,15.1429,0.000356251,0.0233075,0.0598603,3.91632
143,0.181035,11.9262,0.523374,34.4789,0.0159051,1.0478,0.22194,14.621,0.000331638,0.0218477,0.057414,3.78232
144,0.205105,13.605,0.512689,34.0074,0.017049,1.13089,0.210464,13.9604,0.000314948,0.020891,0.0543775,3.60694
145,0.230664,15.4049,0.501907,33.5198,0.0189642,1.26652,0.197339,13.1793,0.000309962,0.0207008,0.0508154,3.3937
146,0.257633,17.3228,0.490916,33.0083,0.0213742,1.43716,0.182913,12.2987,0.000315225,0.0211952,0.0468492,3.15005
147,0.285933,19.3551,0.479581,32.4634,0.0239642,1.62216,0.167556,11.3421,0.000324775,0.0219844,0.0426414,2.88645
148,0.315478,21.498,0.467754,31.8747,0.0264111,1.79977,0.151664,10.335,0.000332347,0.0226475,0.0383606,2.61405
149,0.346177,23.7467,0.455273,31.2304,0.028414,1.94912,0.135654,9.30544,0.000334779,0.0229648,0.0341476,2.34242
150,0.377929,26.0959,0.441967,30.5176,0.0297236,2.0524,0.11995,8.28253,0.000332212,0.0229391,0.030098,2.07826
151,0.410624,28.5393,0.427662,29.7234,0.0301682,2.09676,0.104952,7.29442,0.000326109,0.0226653,0.026267,1.82561
152,0.444137,31.0694,0.412195,28.8349,0.0296717,2.07567,0.090991,6.36523,0.00031702,0.022177,0.0226886,1.58717
153,0.478328,33.6775,0.39542,27.8402,0.0282581,1.98956,0.0782951,5.5125,0.000303245,0.0213505,0.0193958,1.3656
154,0.513042,36.3535,0.377223,26.7296,0.026043,1.84537,0.0669814,4.74622,0.000281334,0.019935,0.0164294,1.16417
155,0.548105,39.0857,0.357536,25.4961,0.0232141,1.65541,0.0570673,4.06951,0.00024886,0.0177464,0.0138295,0.986194
156,0.583325,41.8608,0.336342,24.1367,0.0200052,1.43563,0.0484999,3.48047,0.000207672,0.0149031,0.0116196,0.833852
157,0.618495,44.664,0.313692,22.653,0.0166689,1.20373,0.041187,2.97428,0.000164265,0.0118622,0.0097928,0.707178
158,0.653388,47.4788,0.289704,21.0515,0.0134506,0.977394,0.0350193,2.54469,0.000126245,0.00917365,0.00831158,0.603965
159,0.687765,50.2871,0.264571,19.3446,0.0105664,0.77258,0.0298815,2.18484,9.80264e-05,0.00716737,0.00711875,0.5205
160,0.721372,53.0698,0.238558,17.5502,0.00818254,0.601972,0.0256552,1.8874,7.9529e-05,0.00585078,0.00615284,0.452651
161,0.75395,55.8065,0.212001,15.6921,0.00639996,0.473718,0.0222204,1.64473,6.81345e-05,0.00504324,0.00536079,0.396799
162,0.785233,58.4761,0.185296,13.7989,0.0052453,0.390616,0.0194595,1.44914,6.13038e-05,0.00456528,0.00470505,0.350383
163,0.814958,61.0569,0.158885,11.9037,0.00467187,0.350018,0.0172623,1.2933,5.79665e-05,0.00434287,0.00416471,0.312022
164,0.842868,63.5276,0.133239,10.0423,0.00457158,0.344564,0.0155308,1.17057,5.85784e-05,0.0044151,0.00373198,0.281282
165,0.868717,65.8671,0.108836,8.25204,0.00479618,0.363652,0.0141817,1.07527,6.40313e-05,0.00485492,0.00340579,0.258231
166,0.892278,68.0552,0.0861344,6.56958,0.00518344,0.395348,0.0131461,1.00267,7.37205e-05,0.00562276,0.00318473,0.242904
167,0.913346,70.0731,0.0655569,5.02961,0.00558345,0.428369,0.0123686,0.948936,8.44004e-05,0.00647531,0.0030604,0.234798
168,0.931747,71.904,0.0474653,3.66296,0.00588103,0.453846,0.0118029,0.91084,9.16718e-05,0.00707442,0.0030124,0.23247
169,0.947335,73.5329,0.0321469,2.49527,0.00601289,0.466726,0.011404,0.88519,9.3239e-05,0.00723729,0.00300796,0.23348
170,0.960003,74.9477,0.0198014,1.5459,0.00597862,0.466753,0.0111184,0.868014,9.05425e-05,0.00706868,0.00300861,0.234883
171,0.969678,76.1388,0.0105334,0.827079,0.00584505,0.458952,0.0108745,0.853865,8.69964e-05,0.00683093,0.00298162,0.234116
172,0.976331,77.0997,0.00434988,0.343505,0.00574249,0.453478,0.0105827,0.835702,8.50276e-05,0.00671453,0.00290925,0.22974
173,0.979966,77.8268,0.00116243,0.0923177,0.00585148,0.464712,0.0101457,0.805752,8.51437e-05,0.00676193,0.0027889,0.221488
174,0.98063,78.3197,0.000795678,0.0635482,0.00638032,0.509575,0.00948181,0.757281,8.74518e-05,0.00698449,0.00262474,0.209629
175,0.978402,78.5807,0.00300064,0.240997,0.00753627,0.605278,0.0085502,0.686712,9.36312e-05,0.00752002,0.00241766,0.194175
176,0.973393,78.6149,0.00747215,0.603479,0.00949538,0.766883,0.00737005,0.595234,0.00010777,0.00870389,0.00216197,0.174609
177,0.965742,78.43,0.0138686,1.1263,0.0123763,1.00511,0.00602473,0.489281,0.000135574,0.0110102,0.00185284,0.150473
178,0.95561,78.0354,0.0218324,1.78284,0.0162213,1.32463,0.0046533,0.379989,0.000181683,0.0148363,0.0015013,0.122596
179,0.943175,77.4424,0.0310087,2.54607,0.0209846,1.72301,0.00343799,0.282287,0.000245829,0.0201846,0.00114812,0.0942701
180,0.928625,76.6635,0.0410633,3.39002,0.0265287,2.1901,0.00259655,0.21436,0.000320807,0.0264846,0.000866143,0.0715053
