t,Norm_0,AvgX_0,Norm_1,AvgX_1
541,0.985939,222.287,0.0140608,3.1701
542,0.974806,220.094,0.0251935,5.68826
543,0.960556,217.188,0.0394445,8.91868
544,0.943282,213.589,0.0567185,12.8428
545,0.9231,209.318,0.0769002,17.4375
546,0.900145,204.403,0.099855,22.6749
547,0.874571,198.878,0.125429,28.5228
548,0.846547,192.779,0.153453,34.9449
549,0.816261,186.145,0.183739,41.9007
550,0.783916,179.02,0.216084,49.3464
551,0.749727,171.453,0.250273,57.2343
552,0.713922,163.494,0.286078,65.5141
553,0.67674,155.195,0.32326,74.1324
554,0.63843,146.613,0.36157,83.0334
555,0.599247,137.806,0.400753,92.1594
556,0.559453,128.833,0.440547,101.451
557,0.519314,119.755,0.480686,110.847
558,0.479097,110.633,0.520903,120.287
559,0.43907,101.529,0.56093,129.707
560,0.399502,92.5057,0.600498,139.047
561,0.360656,83.6248,0.639344,148.244
562,0.322792,74.947,0.677208,157.237
563,0.286162,66.5322,0.713838,165.966
564,0.25101,58.4385,0.74899,174.375
565,0.217573,50.722,0.782427,182.405
566,0.186071,43.4366,0.813929,190.004
567,0.156717,36.6331,0.843283,197.12
568,0.129706,30.3597,0.870294,203.706
569,0.105218,24.6607,0.894782,209.717
570,0.0834163,19.5769,0.916584,215.112
571,0.0644471,15.145,0.935553,219.855
572,0.0484367,11.3976,0.951563,223.912
573,0.035492,8.36263,0.964508,227.257
574,0.0256995,6.06326,0.974301,229.866
575,0.0191244,4.51792,0.980876,231.72
576,0.0158108,3.73998,0.984189,232.806
577,0.0157806,3.7377,0.984219,233.117
578,0.0190342,4.51417,0.980966,232.647
579,0.0255497,6.06725,0.97445,231.401
580,0.0352837,8.38958,0.964716,229.385
581,0.0481713,11.4686,0.951829,226.612
582,0.0641263,15.2868,0.935874,223.099
583,0.0830423,19.8214,0.916958,218.869
584,0.104793,25.045,0.895207,213.95
585,0.129233,30.9253,0.870767,208.373
586,0.1562,37.4258,0.8438,202.176
587,0.185513,44.5054,0.814487,195.399
588,0.216977,52.1192,0.783023,188.087
589,0.250381,60.2187,0.749619,180.29
590,0.285503,68.7518,0.714497,172.058
591,0.322108,77.6635,0.677892,163.447
592,0.359952,86.8961,0.640048,154.514
593,0.398782,96.3896,0.601218,145.32
594,0.438339,106.082,0.561661,135.927
595,0.47836,115.91,0.52164,126.397
596,0.518576,125.809,0.481424,116.796
597,0.558719,135.715,0.441281,107.189
598,0.598522,145.561,0.401478,97.6396
599,0.637718,155.282,0.362282,88.2144
600,0.676047,164.815,0.323953,78.9775
601,0.713251,174.096,0.286749,69.992
602,0.749084,183.063,0.250916,61.3197
603,0.783305,191.657,0.216695,53.0205
604,0.815686,199.82,0.184314,45.1517
605,0.846011,207.497,0.153989,37.768
606,0.874078,214.636,0.125922,30.9211
607,0.899699,221.191,0.100301,24.659
608,0.922703,227.116,0.0772969,19.026
609,0.942937,232.371,0.057063,14.0622
610,0.960265,236.92,0.0397345,9.80344
611,0.974573,240.733,0.0254272,6.28086
612,0.985764,243.783,0.0142365,3.52073
613,0.993763,246.048,0.00623706,1.54425
614,0.998518,247.514,0.00148238,0.367453
615,0.999996,248.168,4.1456e-06,0.00102881
616,0.998188,248.006,0.00181224,0.450263
617,0.993105,247.029,0.00689459,1.71498
618,0.984783,245.24,0.0152173,3.78955
619,0.973275,242.653,0.0267247,6.66289
620,0.95866,239.283,0.0413401,10.3185
621,0.941034,235.151,0.0589659,14.7348
622,0.920516,230.286,0.0794844,19.8846
623,0.897241,224.718,0.102759,25.7363
624,0.871367,218.484,0.128633,32.2532
625,0.843064,211.626,0.156936,39.394
626,0.812523,204.189,0.187477,47.1133
627,0.779947,196.222,0.220053,55.3617
628,0.745554,187.779,0.254446,64.0861
629,0.709573,178.916,0.290427,73.2299
630,0.672244,169.691,0.327756,82.734
631,0.633817,160.169,0.366183,92.5364
632,0.594547,150.411,0.405453,102.573
633,0.554698,140.484,0.445302,112.778
634,0.514536,130.455,0.485464,123.085
635,0.474327,120.392,0.525673,133.425
636,0.434341,110.364,0.565659,143.73
637,0.394845,100.437,0.605155,153.933
