E,T,R0,R,E/V0,N_R0
0.158806,0.00661587,1.1339,1.1339,0.00158806,0.9941992302
0.159953,0.00646541,1.14341,1.14341,0.00159953,0.9943772952
0.161103,0.00631855,1.15234,1.15234,0.00161103,0.9945466678
0.162258,0.00617522,1.16067,1.16067,0.00162258,0.9947077642
0.163417,0.00603532,1.16841,1.16841,0.00163417,0.9948611316
0.16458,0.00589877,1.17553,1.17553,0.0016458,0.9950070879
0.165748,0.00576549,1.18204,1.18204,0.00165748,0.9951460992
0.166919,0.00563538,1.18792,1.18792,0.00166919,0.9952784931
0.168094,0.00550838,1.19318,1.19318,0.00168094,0.9954046606
0.169274,0.00538441,1.19782,1.19782,0.00169274,0.9955249416
0.170458,0.00526339,1.20183,1.20183,0.00170458,0.9956396166
0.171646,0.00514525,1.20521,1.20521,0.00171646,0.9957489754
0.172838,0.00502991,1.20798,1.20798,0.00172838,0.9958533645
0.174034,0.00491731,1.21013,1.21013,0.00174034,0.9959529889
0.175234,0.00480738,1.21168,1.21168,0.00175234,0.9960481464
0.176438,0.00470005,1.21263,1.21263,0.00176438,0.9961390504
0.177647,0.00459526,1.21301,1.21301,0.00177647,0.9962259854
0.178859,0.00449294,1.21281,1.21281,0.00178859,0.9963091028
0.180076,0.00439304,1.21205,1.21205,0.00180076,0.9963886184
0.181297,0.00429549,1.21076,1.21076,0.00181297,0.9964647787
0.182522,0.00420023,1.20894,1.20894,0.00182522,0.996537721
0.183751,0.00410722,1.20662,1.20662,0.00183751,0.9966076421
0.184984,0.00401639,1.20382,1.20382,0.00184984,0.9966747235
0.186222,0.00392769,1.20056,1.20056,0.00186222,0.9967391198
0.187463,0.00384107,1.19685,1.19685,0.00187463,0.9968009506
0.188709,0.00375647,1.19273,1.19273,0.00188709,0.9968604158
0.189958,0.00367385,1.18821,1.18821,0.00189958,0.9969176107
0.191212,0.00359316,1.18333,1.18333,0.00191212,0.9969727105
0.19247,0.00351436,1.1781,1.1781,0.0019247,0.9970257978
0.193732,0.00343738,1.17256,1.17256,0.00193732,0.9970770513
0.194999,0.0033622,1.16672,1.16672,0.00194999,0.9971265267
0.196269,0.00328877,1.16062,1.16062,0.00196269,0.9971743748
0.197543,0.00321703,1.15429,1.15429,0.00197543,0.9972207253
0.198822,0.00314696,1.14774,1.14774,0.00198822,0.997265622
0.200105,0.00307851,1.14102,1.14102,0.00200105,0.9973092265
0.201391,0.00301165,1.13414,1.13414,0.00201391,0.9973515845
0.202682,0.00294632,1.12713,1.12713,0.00202682,0.9973928133
0.203978,0.00288251,1.12002,1.12002,0.00203978,0.9974329829
0.205277,0.00282016,1.11283,1.11283,0.00205277,0.9974721825
0.20658,0.00275925,1.1056,1.1056,0.0020658,0.9975105093
0.207888,0.00269973,1.09834,1.09834,0.00207888,0.9975480176
0.209199,0.00264159,1.09109,1.09109,0.00209199,0.9975847913
0.210515,0.00258477,1.08386,1.08386,0.00210515,0.9976208915
0.211835,0.00252925,1.07668,1.07668,0.00211835,0.9976563859
0.213159,0.002475,1.06958,1.06958,0.00213159,0.9976913498
0.214487,0.002422,1.06257,1.06257,0.00214487,0.9977258045
0.215819,0.00237019,1.05568,1.05568,0.00215819,0.9977598511
0.217155,0.00231957,1.04892,1.04892,0.00217155,0.9977934906
0.218496,0.0022701,1.04231,1.04231,0.00218496,0.9978267823
0.21984,0.00222176,1.03588,1.03588,0.0021984,0.9978597859
0.221189,0.0021745,1.02964,1.02964,0.00221189,0.9978925475
0.222542,0.00212832,1.0236,1.0236,0.00222542,0.9979250646
0.223899,0.00208319,1.01778,1.01778,0.00223899,0.9979573829
0.22526,0.00203907,1.01219,1.01219,0.0022526,0.997989537
0.226625,0.00199595,1.00684,1.00684,0.00226625,0.9980215316
0.227994,0.0019538,1.00174,1.00174,0.00227994,0.9980533904
0.229368,0.00191259,0.99691,0.99691,0.00229368,0.9980851554
0.230746,0.00187232,0.992347,0.992347,0.00230746,0.9981167938
0.232127,0.00183295,0.988061,0.988061,0.00232127,0.998148337
0.233513,0.00179446,0.984057,0.984057,0.00233513,0.9981797866
0.234903,0.00175683,0.980338,0.980338,0.00234903,0.9982111402
0.236297,0.00172004,0.976908,0.976908,0.00236297,0.9982423966
0.237695,0.00168407,0.973768,0.973768,0.00237695,0.9982735492
0.239098,0.00164891,0.970918,0.970918,0.00239098,0.9983045794
