E,T,R0,R1,R2,R3,R,N_R0,N_R1,N_R2,N_R3,E/V0
2.33905,1134.05,2.69708e-13,8.36931e-08,0,0,8.36934e-08,2.37827e-16,7.38001e-11,0,0,0.0233905
2.38319,1186.65,1.99721e-13,4.69175e-08,0,0,4.69177e-08,1.68307e-16,3.95377e-11,0,0,0.0238319
2.42773,1241.25,1.47608e-13,2.79012e-08,0,0,2.79014e-08,1.18919e-16,2.24784e-11,0,0,0.0242773
2.47269,1297.89,1.1067e-13,1.63927e-08,0,0,1.63928e-08,8.52688e-17,1.26302e-11,0,0,0.0247269
2.51806,1356.64,8.26624e-14,9.7605e-09,0,0,9.76058e-09,6.09318e-17,7.19462e-12,0,0,0.0251806
2.56384,1417.54,6.12964e-14,5.89393e-09,0,0,5.89399e-09,4.32415e-17,4.15786e-12,0,0,0.0256384
2.61003,1480.64,4.52912e-14,3.60924e-09,0,0,3.60928e-09,3.05888e-17,2.43761e-12,0,0,0.0261003
2.65664,1546.01,3.34046e-14,2.24009e-09,0,0,2.24012e-09,2.16069e-17,1.44895e-12,0,0,0.0265664
2.70366,1613.69,2.50729e-14,1.4088e-09,0,0,1.40883e-09,1.55376e-17,8.73032e-13,0,0,0.0270366
2.75109,1683.74,1.89634e-14,8.9611e-10,0,0,8.96129e-10,1.12627e-17,5.32215e-13,0,0,0.0275109
2.79894,1756.2,1.40924e-14,5.7534e-10,0,0,5.75354e-10,8.02439e-18,3.27604e-13,0,0,0.0279894
2.84719,1831.14,1.02913e-14,3.72744e-10,0,0,3.72754e-10,5.62017e-18,2.03559e-13,0,0,0.0284719
2.89586,1908.6,7.7144e-15,2.42903e-10,0,0,2.42911e-10,4.04192e-18,1.27268e-13,0,0,0.0289586
2.94494,1988.63,5.81117e-15,1.58929e-10,0,0,1.58935e-10,2.9222e-18,7.99191e-14,0,0,0.0294494
2.99444,2071.29,4.23691e-15,9.95443e-11,0,0,9.95485e-11,2.04555e-18,4.80591e-14,0,0,0.0299444
3.04434,2156.63,2.98777e-15,6.65665e-11,0,0,6.65695e-11,1.38539e-18,3.0866e-14,0,0,0.0304434
3.09466,2244.69,2.14112e-15,4.44972e-11,0,0,4.44994e-11,9.53861e-19,1.98233e-14,0,0,0.0309466
3.14539,2335.53,1.7078e-15,2.97347e-11,0,0,2.97364e-11,7.31226e-19,1.27315e-14,0,0,0.0314539
3.19654,2429.19,1.35347e-15,1.91765e-11,0,0,1.91778e-11,5.57169e-19,7.89418e-15,0,0,0.0319654
3.24809,2525.73,9.46159e-16,1.30102e-11,0,0,1.30111e-11,3.74608e-19,5.15106e-15,0,0,0.0324809
3.30006,2625.18,6.14741e-16,8.38063e-12,0,0,8.38125e-12,2.34171e-19,3.19241e-15,0,0,0.0330006
3.35244,2727.6,4.66384e-16,5.76521e-12,0,0,5.76568e-12,1.70987e-19,2.11366e-15,0,0,0.0335244
3.40524,2833.01,4.22322e-16,3.93933e-12,0,0,3.93975e-12,1.49072e-19,1.39051e-15,0,0,0.0340524
3.45844,2941.5,3.28771e-16,2.59644e-12,0,0,2.59677e-12,1.1177e-19,8.82696e-16,0,0,0.0345844
3.51206,3053.05,2.01464e-16,1.78416e-12,0,0,1.78436e-12,6.59879e-20,5.84387e-16,0,0,0.0351206
3.56609,3167.75,1.23613e-16,1.17219e-12,0,0,1.17232e-12,3.90225e-20,3.7004e-16,0,0,0.0356609
