t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
166,0.409607,8.96995e-26,3.0216e-26,1.35388e-26,6.98457e-27,9.52287e-27,8.7363e-28,2.61967e-27,1.52261e-27
167,0.400744,8.84767e-26,3.5752e-26,1.39567e-26,9.13364e-27,1.11439e-26,1.77122e-27,2.92657e-27,1.38963e-27
168,0.392194,9.52583e-26,2.90399e-26,1.57098e-26,9.22185e-27,8.85912e-27,1.39277e-27,2.78536e-27,6.40051e-28
169,0.383953,9.67054e-26,3.07886e-26,1.65912e-26,1.01558e-26,9.10346e-27,1.00168e-27,3.23622e-27,5.49001e-28
170,0.376015,1.04049e-25,2.82995e-26,1.30673e-26,8.36307e-27,1.10913e-26,6.61469e-28,3.37498e-27,6.38991e-29
171,0.368372,9.69794e-26,3.11345e-26,1.42536e-26,8.71861e-27,8.7897e-27,1.00051e-27,3.04861e-27,3.12627e-28
172,0.361016,9.93221e-26,3.16378e-26,1.85585e-26,7.42008e-27,7.22503e-27,1.1051e-27,3.16307e-27,3.69826e-28
173,0.353937,1.06333e-25,2.8989e-26,1.64262e-26,7.51355e-27,9.51601e-27,2.95799e-28,3.9618e-27,7.77985e-29
174,0.347126,1.06791e-25,2.29541e-26,1.45062e-26,5.20535e-27,9.05121e-27,2.97648e-28,4.96158e-27,2.29914e-28
175,0.340571,1.06983e-25,2.14621e-26,1.43494e-26,6.10159e-27,8.5892e-27,3.36553e-28,3.31798e-27,7.43368e-29
176,0.33426,1.12047e-25,1.78465e-26,1.24568e-26,3.34194e-27,7.04631e-27,4.19102e-30,3.80735e-27,2.26574e-28
177,0.328181,1.09932e-25,1.75631e-26,1.4471e-26,3.59771e-27,8.06869e-27,7.34175e-29,4.20764e-27,5.98872e-28
178,0.322321,1.17992e-25,1.48805e-26,1.19097e-26,3.24227e-27,5.5939e-27,1.65531e-28,4.26915e-27,3.00442e-28
179,0.316667,1.10065e-25,1.4705e-26,1.15136e-26,2.54675e-27,6.9653e-27,-7.17641e-29,3.46232e-27,4.5822e-28
180,0.311205,1.09281e-25,1.22808e-26,1.07681e-26,9.01768e-28,7.07052e-27,1.61459e-28,3.57802e-27,4.85177e-28
181,0.305921,1.24758e-25,1.6909e-26,1.14179e-26,1.10509e-27,5.52343e-27,-7.47369e-30,3.66139e-27,1.40732e-27
182,0.300801,1.09585e-25,1.16106e-26,9.98022e-27,1.83431e-27,5.75337e-27,-6.62229e-30,2.97352e-27,7.94878e-28
183,0.295832,1.23894e-25,1.53129e-26,8.80415e-27,1.20317e-27,7.61045e-27,3.7884e-29,3.17288e-27,1.31886e-27
184,0.291,1.33492e-25,1.42544e-26,1.06132e-26,8.55179e-28,6.78796e-27,3.57585e-28,4.03276e-27,2.18162e-27
185,0.286291,1.24973e-25,1.16577e-26,1.07149e-26,4.13597e-28,3.97712e-27,2.31841e-28,2.50782e-27,2.92205e-27
186,0.281693,1.2756e-25,6.11306e-27,8.70433e-27,2.66443e-28,3.88719e-27,7.62857e-28,2.2336e-27,2.48632e-27
187,0.277193,1.25085e-25,7.361e-27,7.08877e-27,-3.70446e-29,6.23667e-27,7.95076e-28,1.45599e-27,2.73339e-27
188,0.272778,8.32929e-26,6.00596e-27,8.00015e-27,8.13117e-29,4.55153e-27,1.20302e-27,1.04027e-27,4.00792e-27
189,0.268437,8.15167e-26,3.78979e-27,9.35788e-27,1.77333e-28,3.53747e-27,-9.01392e-31,8.70681e-28,6.06695e-27
190,0.264161,1.38804e-25,5.22485e-27,8.97831e-27,5.04049e-29,2.38251e-27,1.10435e-27,1.01474e-27,6.62348e-27
191,0.259937,1.7872e-25,6.05773e-27,4.48565e-27,2.08628e-28,3.81752e-27,1.61292e-27,1.01194e-27,3.38199e-27
192,0.255759,1.29478e-25,3.71283e-28,3.63518e-27,2.20626e-28,5.36109e-27,8.90091e-28,4.3442e-28,3.72915e-27
193,0.251617,9.24621e-26,3.84206e-28,5.06035e-27,1.39503e-28,2.73391e-27,2.49025e-28,4.07879e-28,5.10396e-27
