t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
109,0.913963,2.62199e-28,1.70767e-29,2.51269e-28,1.07112e-28,2.08874e-28,3.72198e-28,1.32613e-28,2.87206e-28
110,0.916801,2.62615e-28,1.26518e-29,2.10231e-28,1.04062e-28,1.72472e-28,3.70483e-28,1.12681e-28,2.98975e-28
111,0.919681,2.65749e-28,1.89114e-29,1.96793e-28,6.34796e-29,1.38288e-28,3.88684e-28,9.23022e-29,2.62057e-28
112,0.922594,2.70442e-28,1.2727e-29,1.85994e-28,9.72601e-29,1.17258e-28,3.53095e-28,7.03056e-29,2.47265e-28
113,0.925536,2.63734e-28,1.78375e-29,2.06891e-28,9.64012e-29,1.00857e-28,3.67602e-28,4.5634e-29,2.24499e-28
114,0.928501,3.12298e-28,2.31241e-29,1.50137e-28,8.82026e-29,9.38623e-29,3.42827e-28,2.91629e-29,2.29013e-28
115,0.931483,3.04414e-28,1.3651e-29,1.57189e-28,6.61135e-29,7.50165e-29,3.05291e-28,2.7383e-29,2.15773e-28
116,0.934478,3.15291e-28,1.07841e-29,1.24196e-28,6.41476e-29,5.97788e-29,2.88464e-28,3.69014e-29,1.74042e-28
117,0.937482,3.12019e-28,1.85932e-29,1.39007e-28,6.42566e-29,4.4128e-29,2.57379e-28,4.97207e-29,1.79436e-28
118,0.94049,3.48122e-28,2.29628e-29,1.16554e-28,6.0049e-29,4.85238e-29,2.40331e-28,6.21584e-29,1.71367e-28
119,0.943501,3.42707e-28,2.81271e-29,1.20072e-28,3.46092e-29,6.27897e-29,2.05399e-28,9.75313e-29,1.9942e-28
120,0.946511,3.64937e-28,2.95232e-29,1.42011e-28,2.4138e-29,6.70731e-29,1.89371e-28,1.15155e-28,1.68616e-28
121,0.949518,3.69371e-28,5.18119e-29,1.42021e-28,2.32937e-29,6.31296e-29,1.64031e-28,1.57427e-28,1.97719e-28
122,0.952522,3.80066e-28,7.04392e-29,1.37576e-28,1.39486e-29,7.29179e-29,1.33647e-28,1.80845e-28,2.27451e-28
123,0.95552,3.84917e-28,9.61602e-29,1.4233e-28,4.98597e-30,8.97358e-29,1.03492e-28,1.81044e-28,2.30184e-28
124,0.958512,3.73707e-28,1.12279e-28,1.9041e-28,-1.45026e-30,1.03439e-28,7.69972e-29,2.32558e-28,2.54934e-28
125,0.961498,4.05762e-28,1.38934e-28,2.27543e-28,-3.13925e-30,1.01957e-28,6.25918e-29,2.38819e-28,2.5866e-28
126,0.964478,3.83295e-28,1.73728e-28,2.2751e-28,-7.86054e-30,1.01451e-28,4.83008e-29,2.19695e-28,2.83604e-28
127,0.967452,4.3679e-28,2.07433e-28,2.43077e-28,-1.34277e-29,1.11249e-28,4.18527e-29,2.13325e-28,2.99661e-28
128,0.970421,3.99515e-28,2.01193e-28,2.80081e-28,-6.60012e-30,1.23226e-28,2.92298e-29,2.06918e-28,3.20308e-28
129,0.973386,4.09909e-28,2.18486e-28,3.44869e-28,-1.16119e-29,1.27558e-28,2.39193e-29,1.9249e-28,3.3973e-28
130,0.976348,4.10942e-28,2.68855e-28,3.86342e-28,-9.07381e-30,1.23952e-28,3.25458e-29,1.55663e-28,3.58945e-28
131,0.979309,3.83488e-28,2.91199e-28,4.1329e-28,-7.71948e-30,1.3756e-28,3.60081e-29,1.48803e-28,3.52982e-28
132,0.982268,4.46248e-28,3.07407e-28,4.47738e-28,7.72138e-31,1.44736e-28,3.12877e-29,1.07429e-28,3.93429e-28
133,0.985229,4.2567e-28,2.51458e-28,5.27257e-28,5.63212e-32,1.42645e-28,4.05821e-29,7.18226e-29,4.22199e-28
134,0.988191,3.85124e-28,2.77774e-28,5.50641e-28,-5.36504e-30,1.32958e-28,3.13911e-29,4.71174e-29,3.7847e-28
135,0.991156,4.08204e-28,3.03801e-28,5.92478e-28,1.83696e-29,1.50218e-28,3.47749e-29,3.33114e-29,4.04359e-28
136,0.994125,4.37547e-28,2.77511e-28,6.34134e-28,2.85366e-29,1.60709e-28,3.20848e-29,2.29937e-29,3.964e-28
137,0.997099,4.28932e-28,2.21812e-28,6.70078e-28,2.19396e-29,1.67483e-28,1.80648e-29,3.4423e-30,3.987e-28
138,1.00008,4.39919e-28,2.36206e-28,7.28011e-28,2.67003e-29,1.52183e-28,7.05235e-30,3.20762e-30,3.46215e-28
139,1.00306,4.41418e-28,2.09882e-28,8.13226e-28,3.6921e-29,1.59301e-28,6.36474e-30,6.6385e-31,3.4426e-28
140,1.00605,4.41635e-28,1.79313e-28,8.01106e-28,4.74664e-29,1.62808e-28,1.09021e-29,1.55943e-29,3.45059e-28
