t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6
179,1.1004,5.19075e-28,3.72045e-28,1.5792e-28,2.62127e-29,2.96127e-28,9.42825e-30,3.52872e-28
180,1.10074,4.89246e-28,4.36593e-28,1.32546e-28,1.83154e-29,3.3303e-28,1.11084e-29,3.51853e-28
181,1.10108,4.429e-28,5.11387e-28,1.45211e-28,2.68786e-29,3.4411e-28,2.16664e-29,3.93125e-28
182,1.10142,3.56601e-28,5.03026e-28,1.52292e-28,2.14522e-29,3.78494e-28,3.46942e-29,4.07852e-28
183,1.10177,4.13099e-28,5.32505e-28,1.54506e-28,2.22797e-29,3.86572e-28,4.16082e-29,3.85788e-28
184,1.10212,2.85179e-28,5.57012e-28,1.98219e-28,2.4714e-29,3.98526e-28,3.445e-29,3.82623e-28
185,1.10248,2.65875e-28,5.54647e-28,2.21262e-28,2.6092e-29,4.28406e-28,5.83287e-29,4.36021e-28
186,1.10285,2.22276e-28,5.97917e-28,2.87468e-28,2.81703e-29,4.5718e-28,7.02177e-29,4.26239e-28
187,1.10322,1.72298e-28,4.95488e-28,2.68332e-28,2.49149e-29,5.3809e-28,6.56404e-29,4.21624e-28
188,1.10361,1.50291e-28,5.96236e-28,3.04263e-28,1.90011e-29,5.21921e-28,5.44572e-29,3.63541e-28
189,1.10401,1.05964e-28,7.12212e-28,3.05787e-28,1.47973e-29,4.78501e-28,7.57417e-29,4.01367e-28
190,1.10442,1.06196e-28,5.5443e-28,2.01411e-28,2.01891e-29,5.10652e-28,9.98539e-29,4.44536e-28
191,1.10485,1.59488e-28,3.23261e-28,3.05437e-28,2.30351e-29,6.2488e-28,1.08764e-28,4.41612e-28
192,1.10529,1.58056e-28,2.68906e-28,3.4206e-28,1.75887e-29,6.53129e-28,1.00364e-28,4.22442e-28
193,1.10575,8.67541e-29,5.57003e-28,5.08584e-28,6.88338e-30,6.60878e-28,6.56208e-29,3.44797e-28
194,1.10623,8.26291e-29,5.03329e-28,4.38503e-28,7.34312e-30,7.16662e-28,8.1875e-29,3.12278e-28
195,1.10673,7.23452e-29,2.68373e-28,3.14966e-28,1.75045e-29,6.80111e-28,1.43229e-28,4.10511e-28
196,1.10725,1.17632e-28,5.51155e-29,3.43684e-28,5.33515e-29,7.75275e-28,1.41911e-28,4.67027e-28
197,1.10779,1.07956e-28,1.98444e-28,5.32468e-28,6.95583e-29,9.40875e-28,1.60164e-28,4.81467e-28
198,1.10835,4.7171e-29,3.79286e-28,5.31138e-28,4.60741e-29,8.31197e-28,1.16007e-28,3.65612e-28
