t,T+R,N_0,N_1,N_2,N_3,N_4
171,1.0866,5.34924e-28,1.3639e-27,4.21015e-28,3.90374e-28,5.56223e-28
172,1.08668,4.48837e-28,1.44981e-27,3.81875e-28,3.91446e-28,6.09376e-28
173,1.0868,3.56934e-28,1.44462e-27,3.63663e-28,3.75334e-28,6.16547e-28
174,1.08697,3.25664e-28,1.3807e-27,3.41558e-28,4.23044e-28,6.0878e-28
175,1.08721,2.86571e-28,1.20731e-27,2.61978e-28,3.97671e-28,6.52129e-28
176,1.08753,2.40336e-28,1.29718e-27,1.97265e-28,4.37167e-28,6.60269e-28
177,1.08794,1.78639e-28,1.32705e-27,1.56745e-28,4.0711e-28,6.57023e-28
178,1.08844,9.93966e-29,1.09609e-27,1.54907e-28,4.38252e-28,6.32081e-28
179,1.08905,9.50941e-29,1.06064e-27,1.12238e-28,4.28679e-28,6.06344e-28
180,1.08977,9.03894e-29,8.85185e-28,8.23641e-29,4.24158e-28,6.36645e-28
181,1.0906,5.9765e-29,9.0332e-28,5.34517e-29,4.63888e-28,6.86959e-28
182,1.09154,2.35328e-29,8.42733e-28,3.50435e-29,4.78433e-28,6.37789e-28
183,1.0926,1.06412e-29,7.72948e-28,1.43503e-29,4.54838e-28,6.15228e-28
184,1.09376,7.39447e-30,6.08438e-28,4.11707e-30,4.99482e-28,6.34138e-28
185,1.09504,6.33387e-33,7.0385e-28,-2.90137e-30,4.85649e-28,6.47049e-28
186,1.09641,6.146e-30,5.80717e-28,-6.6716e-30,5.15514e-28,6.26534e-28
187,1.09788,3.05492e-29,5.56108e-28,-9.30802e-30,5.21762e-28,6.27397e-28
188,1.09944,7.80391e-29,4.82342e-28,-3.81715e-30,5.88135e-28,6.14655e-28
189,1.10107,7.25164e-29,3.92596e-28,-8.45864e-30,5.54437e-28,5.91764e-28
190,1.10277,7.35241e-29,1.59625e-28,-1.85976e-29,5.41969e-28,5.04044e-28
191,1.10451,1.19352e-28,2.03096e-28,2.67004e-29,6.09969e-28,4.99349e-28
192,1.1063,1.78827e-28,1.09141e-28,4.96591e-29,6.66004e-28,4.78825e-28
193,1.10812,3.84729e-28,1.90326e-28,8.68792e-29,6.4254e-28,5.86291e-28
194,1.10995,3.7937e-28,5.73217e-29,1.03087e-28,6.27759e-28,5.77154e-28
195,1.11178,2.30612e-28,-4.31007e-29,1.32318e-28,6.21569e-28,5.13384e-28
196,1.11361,2.31828e-28,-7.92579e-29,2.1837e-28,6.02047e-28,4.87685e-28
197,1.1154,4.43544e-28,-7.23285e-29,3.05839e-28,6.77944e-28,5.42841e-28
198,1.11716,5.27167e-28,-2.49872e-29,3.18076e-28,6.58932e-28,5.39751e-28
199,1.11888,2.83942e-28,-9.06083e-30,2.01084e-28,5.86704e-28,5.22537e-28
200,1.12054,2.91955e-28,-7.51988e-29,3.33789e-28,5.04357e-28,4.80645e-28
201,1.12213,2.47176e-28,-3.50824e-29,4.08851e-28,4.85609e-28,4.58684e-28
202,1.12365,4.02489e-28,-3.53988e-29,4.63437e-28,5.94725e-28,4.27339e-28
203,1.12509,4.53622e-28,4.23916e-29,3.93549e-28,5.51035e-28,4.43178e-28
204,1.12644,3.45012e-28,1.85759e-28,4.02875e-28,5.14168e-28,4.08572e-28
205,1.12771,2.02033e-28,1.76997e-28,4.32373e-28,4.65097e-28,3.74769e-28
206,1.12889,3.21427e-28,9.25017e-29,4.87313e-28,4.69788e-28,3.25434e-28
207,1.12997,3.66359e-28,2.65917e-28,5.09923e-28,4.67829e-28,3.19323e-28
208,1.13096,2.0356e-28,2.9646e-28,4.96856e-28,5.15257e-28,3.26728e-28
209,1.13187,1.03038e-28,2.77336e-28,5.33092e-28,4.57206e-28,2.79901e-28
210,1.13269,8.73922e-29,3.23775e-28,6.06414e-28,4.94683e-28,2.47498e-28
211,1.13343,1.22284e-28,4.38623e-28,6.01378e-28,5.22865e-28,2.30539e-28
212,1.13409,1.40676e-28,4.32512e-28,6.79722e-28,4.90578e-28,2.20331e-28
213,1.13469,9.8564e-30,6.05676e-28,6.94338e-28,5.91737e-28,2.17017e-28
214,1.13522,5.15678e-29,5.72814e-28,6.90357e-28,5.59702e-28,1.88897e-28
215,1.1357,9.1774e-29,6.04882e-28,7.33641e-28,5.21291e-28,1.56848e-28
216,1.13614,6.46262e-29,7.81787e-28,7.96572e-28,6.37962e-28,1.33893e-28
217,1.13654,4.30493e-29,1.01231e-27,8.26456e-28,6.9913e-28,1.40363e-28
218,1.13692,1.29049e-28,1.06722e-27,8.74163e-28,6.81904e-28,1.28291e-28
219,1.13728,1.68563e-28,8.51091e-28,8.69392e-28,6.1878e-28,1.09522e-28
