t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
182,0.531757,44.3757,0.245987,20.5279,0.17934,14.9661,0.0429165,3.58142
183,0.554743,46.542,0.23016,19.31,0.173622,14.5666,0.0414753,3.47971
184,0.577781,48.7332,0.214693,18.1083,0.167415,14.1206,0.0401114,3.38321
185,0.600662,50.9315,0.199725,16.9351,0.160766,13.6317,0.0388476,3.29397
186,0.623175,53.1188,0.185391,15.8025,0.153728,13.1036,0.0377064,3.21406
187,0.645115,55.277,0.171821,14.7226,0.146354,12.5404,0.0367099,3.14551
188,0.666283,57.3882,0.15914,13.707,0.138698,11.9463,0.035879,3.09032
189,0.686486,59.4346,0.147463,12.767,0.130817,11.3259,0.0352335,3.05045
190,0.70554,61.3989,0.136899,11.9135,0.122769,10.6838,0.034792,3.02774
191,0.723272,63.2644,0.127547,11.1565,0.11461,10.0249,0.0345713,3.02394
192,0.739519,65.0151,0.119496,10.5055,0.106399,9.35409,0.0345864,3.04068
193,0.754135,66.6359,0.112823,9.96911,0.0981917,8.67629,0.0348505,3.07941
194,0.766986,68.113,0.107595,9.55507,0.0900445,7.99649,0.0353742,3.14144
195,0.777956,69.4334,0.103866,9.27013,0.0820117,7.31963,0.0361663,3.22788
196,0.786945,70.5856,0.101677,9.12001,0.0741457,6.65056,0.0372327,3.33961
197,0.79387,71.5598,0.101057,9.10931,0.0664968,5.99405,0.0385768,3.47733
198,0.798668,72.3473,0.10202,9.24146,0.0591125,5.3547,0.0401995,3.64146
199,0.801296,72.9413,0.104568,9.5187,0.0520375,4.73693,0.0420988,3.83221
200,0.801729,73.3368,0.108688,9.94201,0.0453132,4.14494,0.04427,4.04952
201,0.799963,73.5303,0.114354,10.5111,0.0389773,3.58268,0.0467057,4.29305
202,0.796012,73.5203,0.121528,11.2245,0.0330639,3.05381,0.0493956,4.56221
203,0.789912,73.3072,0.130158,12.0792,0.0276031,2.56168,0.0523268,4.85615
204,0.781718,72.8932,0.140178,13.0712,0.0226207,2.10933,0.0554839,5.17373
205,0.771502,72.2825,0.151511,14.1951,0.0181385,1.6994,0.0588486,5.51356
