E,T,R0,R1,R,N_R0,N_R1,E/V0
1778.47,1.37383,2.76206,0.84541,3.60747,0.554485,0.169716,17.7847
1778.59,3.08285,3.4466,0.130399,3.577,0.51752,0.0195798,17.7859
1778.71,9.10668,15.6062,0.692851,16.2991,0.614279,0.0272714,17.7871
1778.83,7.06586,0.417801,-0.0843621,0.333439,0.0564649,-0.0114014,17.7883
1778.95,0.541062,9.18627,0.317294,9.50356,0.914546,0.0315885,17.7895
1779.07,3.80746,0.0210117,0.151595,0.172607,0.00527924,0.0380885,17.7907
1779.19,5.6481,13.6139,1.42983,15.0438,0.657937,0.0691011,17.7919
1779.31,15.0238,8.09101,0.299159,8.39017,0.345563,0.0127769,17.7931
1779.43,9.43394,0.977141,0.540018,1.51716,0.0892277,0.0493118,17.7943
1779.56,3.94647,4.60492,-0.0382074,4.56671,0.540916,-0.00448802,17.7956
1779.68,0.653045,4.39361,-0.0630692,4.33054,0.881616,-0.0126554,17.7968
1779.8,1.86745,0.382364,0.900082,1.28245,0.121389,0.28575,17.798
1779.92,10.631,2.92807,-0.271935,2.65614,0.220369,-0.0204661,17.7992
1780.04,6.76354,4.71077,0.420444,5.13122,0.396038,0.035347,17.8004
1780.16,8.93283,4.51596,0.0443557,4.56032,0.334686,0.00328727,17.8016
1780.28,12.8077,3.31267,1.28702,4.59969,0.190302,0.0739349,17.8028
1780.4,6.49212,32.4162,-0.271869,32.1443,0.839006,-0.00703659,17.804
1780.53,6.26788,15.1757,1.9358,17.1115,0.649105,0.0827998,17.8053
1780.65,10.4166,8.82441,-0.432435,8.39197,0.469169,-0.0229914,17.8065
1780.77,8.28357,9.22295,0.0469986,9.26995,0.525419,0.00267744,17.8077
1780.89,5.24144,8.29561,0.364214,8.65983,0.596752,0.0262001,17.8089
1781.01,5.3221,4.77593,0.014978,4.79091,0.472256,0.00148107,17.8101
1781.13,11.9768,1.79999,0.169728,1.96971,0.129063,0.0121699,17.8113
1781.25,7.99379,11.571,0.65947,12.2305,0.572135,0.0326078,17.8125
1781.37,6.19391,10.5532,0.206051,10.7592,0.622491,0.0121542,17.8137
1781.49,7.24931,10.9862,0.470782,11.457,0.5873,0.025167,17.8149
1781.62,11.4425,7.50133,0.0775959,7.57893,0.394362,0.00407939,17.8162
1781.74,2.86772,2.3195,0.0996439,2.41914,0.438729,0.0188475,17.8174
1781.86,11.3312,9.63535,0.19334,9.82869,0.45536,0.00913713,17.8186
1781.98,6.04426,3.36557,0.661503,4.02707,0.334173,0.0656818,17.8198
1782.1,8.04172,3.32436,0.164416,3.48878,0.28831,0.0142593,17.821
1782.22,6.97429,5.31954,0.133592,5.45313,0.428049,0.0107498,17.8222
1782.34,8.74,8.31531,1.68066,9.99597,0.443815,0.0897023,17.8234
1782.46,1.61849,5.09485,0.187008,5.28186,0.738347,0.0271013,17.8246
1782.59,2.32106,0.857268,0.576245,1.43351,0.228326,0.153478,17.8259
1782.71,1.59796,6.45522,0.0471573,6.50238,0.796907,0.00582164,17.8271
1782.83,6.23427,12.2054,0.0403401,12.2457,0.660465,0.00218291,17.8283
1782.95,2.75754,14.6033,0.181461,14.7847,0.832462,0.0103442,17.8295
1783.07,5.5236,0.372556,0.278943,0.6515,0.0603321,0.0451723,17.8307
1783.19,1.27564,1.78268,0.547772,2.33046,0.494352,0.151902,17.8319
1783.31,15.0048,5.8199,-0.0146457,5.80525,0.279668,-0.000703782,17.8331
1783.43,6.60417,5.89047,0.207451,6.09792,0.46374,0.016332,17.8343
1783.56,0.923693,4.93082,0.165712,5.09653,0.819042,0.0275259,17.8356
1783.68,9.61739,2.24312,1.72091,3.96403,0.165161,0.126711,17.8368
1783.8,7.80739,1.26817,0.794844,2.06302,0.128482,0.080528,17.838
1783.92,6.52393,10.0129,0.189481,10.2024,0.598632,0.0113283,17.8392
1784.04,6.26808,6.46845,0.307541,6.77599,0.495892,0.0235771,17.8404
1784.16,1.24315,0.126123,0.539053,0.665176,0.0660909,0.282474,17.8416
1784.28,8.27691,1.23102,-0.197443,1.03357,0.132218,-0.0212065,17.8428
1784.41,11.5311,2.73137,0.0439572,2.77533,0.190919,0.00307254,17.8441
1784.53,4.41615,5.56124,0.993265,6.5545,0.506919,0.0905384,17.8453
1784.65,2.45025,11.4672,1.86941,13.3366,0.726375,0.118416,17.8465
1784.77,4.90644,2.18422,0.627851,2.81208,0.282985,0.0813435,17.8477
1784.89,1.12622,5.33162,1.19217,6.52379,0.696943,0.155839,17.8489
1785.01,8.44217,1.5647,0.520096,2.08479,0.148637,0.0494061,17.8501
1785.13,0.25479,11.9841,2.58671,14.5708,0.808339,0.174475,17.8513
1785.25,4.16255,2.87528,-0.733449,2.14183,0.456076,-0.11634,17.8525
1785.38,4.11207,1.5224,0.370161,1.89256,0.253538,0.061646,17.8538
1785.5,2.6798,2.59254,1.13931,3.73185,0.404348,0.177694,17.855
1785.62,6.07033,0.508338,1.03634,1.54467,0.0667547,0.136091,17.8562
1785.74,6.43828,8.78439,0.163821,8.94821,0.570916,0.010647,17.8574
1785.86,0.894232,2.67837,0.685675,3.36404,0.628979,0.161022,17.8586
1785.98,2.85353,1.81739,-0.289648,1.52774,0.414809,-0.0661105,17.8598
1786.1,1.48706,4.00557,0.613226,4.6188,0.656021,0.100432,17.861
